Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 am,11.5,8.7,82,NE,13 7,19 10,1017.3,0.2,2023-04-30
5:00 am,11.2,8.7,83,NE,11 6,19 10,1017.2,0.2,2023-04-30
4:30 am,11.2,9.1,83,NE,9 5,13 7,1017.1,0.2,2023-04-30
4:00 am,11.4,9.4,83,NE,9 5,15 8,1016.8,0.2,2023-04-30
3:30 am,11.5,9.6,84,NNE,9 5,13 7,1016.7,0.2,2023-04-30
3:00 am,11.5,9.1,83,NE,11 6,15 8,1016.8,0.2,2023-04-30
2:30 am,11.7,9.4,84,NE,11 6,17 9,1016.8,0.2,2023-04-30
2:00 am,11.6,9.3,84,NE,11 6,17 9,1016.8,0.2,2023-04-30
1:30 am,11.2,9.6,85,NNE,7 4,11 6,1016.8,0.2,2023-04-30
1:00 am,11.8,9.6,84,NE,11 6,15 8,1017.0,0.2,2023-04-30
12:30 am,11.5,9.5,83,NNE,9 5,13 7,1017.1,0.2,2023-04-30
12:00 am,11.9,9.9,81,NE,9 5,13 7,1017.2,0.2,2023-04-30
