Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,8.3,5.2,93,SW,13 7,17 9,1012.9,10.0,2025-06-10
11:00 pm,8.3,4.8,93,SW,15 8,20 11,1012.8,10.0,2025-06-10
10:30 pm,8.4,4.0,95,SW,20 11,28 15,1012.6,10.0,2025-06-10
10:00 pm,8.3,5.3,95,SSW,13 7,17 9,1012.9,10.0,2025-06-10
9:30 pm,8.4,5.3,92,SSW,13 7,20 11,1013.0,9.8,2025-06-10
9:00 pm,8.1,4.5,91,SW,15 8,20 11,1012.9,9.8,2025-06-10
8:30 pm,8.5,4.2,90,SW,19 10,22 12,1012.9,9.8,2025-06-10
8:00 pm,8.9,5.1,92,SSW,17 9,24 13,1012.9,9.6,2025-06-10
7:30 pm,8.5,5.0,93,SSW,15 8,20 11,1012.8,9.6,2025-06-10
7:00 pm,9.1,5.8,93,SSW,15 8,20 11,1012.7,9.6,2025-06-10
6:30 pm,9.0,5.3,93,SSW,17 9,30 16,1012.4,9.6,2025-06-10
