Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,15.0,13.4,86,SSE,13 7,19 10,1023.7,0.0,2023-08-28
11:00 pm,15.2,14.5,88,S,9 5,15 8,1023.8,0.0,2023-08-28
10:30 pm,15.4,14.8,89,S,9 5,15 8,1023.7,0.0,2023-08-28
10:00 pm,15.8,14.9,88,S,11 6,19 10,1023.6,0.0,2023-08-28
9:30 pm,15.9,14.8,84,S,11 6,17 9,1023.5,0.0,2023-08-28
9:00 pm,16.0,15.3,84,SSW,9 5,17 9,1023.3,0.0,2023-08-28
8:30 pm,16.3,15.6,82,SSW,9 5,15 8,1023.0,0.0,2023-08-28
8:00 pm,16.4,15.9,84,SSW,9 5,17 9,1023.0,0.0,2023-08-28
7:30 pm,16.6,16.0,82,SSW,9 5,17 9,1022.7,0.0,2023-08-28
7:00 pm,16.8,16.1,80,SW,9 5,17 9,1022.6,0.0,2023-08-28
6:30 pm,17.2,16.7,80,SW,9 5,19 10,1022.2,0.0,2023-08-28
6:00 pm,17.7,17.2,73,WSW,7 4,11 6,1021.8,0.0,2023-08-28
5:30 pm,18.5,17.6,68,WSW,9 5,13 7,1021.6,0.0,2023-08-28
5:00 pm,19.5,18.4,62,WSW,9 5,15 8,1021.4,0.0,2023-08-28
4:30 pm,19.9,17.6,60,SW,15 8,22 12,1020.9,0.0,2023-08-28
4:00 pm,20.7,19.4,59,WSW,11 6,20 11,1020.7,0.0,2023-08-28
3:30 pm,21.1,19.8,58,WSW,11 6,19 10,1020.8,0.0,2023-08-28
3:00 pm,21.2,19.9,58,SW,11 6,20 11,1020.5,0.0,2023-08-28
2:30 pm,21.3,20.0,57,WSW,11 6,19 10,1020.1,0.0,2023-08-28
2:00 pm,21.3,19.9,56,WSW,11 6,19 10,1020.0,0.0,2023-08-28
1:30 pm,21.4,19.8,53,W,11 6,20 11,1019.9,0.0,2023-08-28
1:00 pm,21.7,20.6,54,W,9 5,17 9,1019.9,0.0,2023-08-28
12:30 pm,21.9,21.0,56,WNW,9 5,13 7,1020.1,0.0,2023-08-28
12:00 pm,21.1,19.9,55,NNW,9 5,17 9,1020.2,0.0,2023-08-28
11:30 am,20.9,20.6,59,W,6 3,11 6,1020.5,0.0,2023-08-28
11:00 am,20.8,21.7,60,CALM,0 0,6 3,1020.7,0.0,2023-08-28
10:30 am,20.4,19.9,58,SSW,6 3,11 6,1020.8,0.0,2023-08-28
10:00 am,19.0,18.5,67,SSW,7 4,9 5,1021.0,0.0,2023-08-28
9:30 am,18.5,19.8,75,CALM,0 0,2 1,1020.8,0.0,2023-08-28
9:00 am,17.9,19.6,85,CALM,0 0,0 0,1020.8,0.0,2023-08-28
8:30 am,17.0,19.3,99,CALM,0 0,0 0,1020.4,0.0,2023-08-28
8:00 am,15.0,16.6,99,CALM,0 0,0 0,1020.2,0.0,2023-08-28
7:30 am,12.3,13.0,99,CALM,0 0,0 0,1019.9,0.0,2023-08-28
7:00 am,11.8,12.3,99,CALM,0 0,0 0,1019.3,0.0,2023-08-28
6:30 am,11.7,12.2,99,CALM,0 0,0 0,1019.0,0.0,2023-08-28
6:00 am,12.1,12.7,99,CALM,0 0,0 0,1018.9,0.0,2023-08-28
5:30 am,12.2,12.8,99,CALM,0 0,0 0,1018.5,0.0,2023-08-28
5:00 am,12.4,13.1,99,CALM,0 0,0 0,1018.5,0.0,2023-08-28
4:30 am,12.8,13.6,99,CALM,0 0,0 0,1018.3,0.0,2023-08-28
