Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 am,16.5,13.3,59,E,15 8,32 17,1014.9,0.0,2023-12-19
3:30 am,17.0,13.7,55,E,15 8,28 15,1014.9,0.0,2023-12-19
3:00 am,17.4,13.6,53,ESE,17 9,32 17,1014.9,0.0,2023-12-19
2:30 am,17.8,14.4,51,ESE,15 8,35 19,1014.9,0.0,2023-12-19
2:00 am,18.5,15.0,48,ESE,15 8,30 16,1014.8,0.0,2023-12-19
1:30 am,19.2,16.5,46,ESE,11 6,22 12,1014.7,0.0,2023-12-19
1:00 am,19.9,16.3,42,E,15 8,33 18,1014.8,0.0,2023-12-19
12:30 am,21.0,17.3,38,ESE,15 8,30 16,1014.9,0.0,2023-12-19
12:00 am,21.9,18.2,36,ESE,15 8,30 16,1015.0,0.0,2023-12-19
