Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,10.7,9.2,85,S,6 3,7 4,1030.6,0.0,2023-09-27
11:00 pm,11.0,9.3,84,WSW,7 4,11 6,1030.6,0.0,2023-09-27
10:30 pm,11.5,10.8,81,WSW,2 1,7 4,1030.5,0.0,2023-09-27
10:00 pm,11.9,9.8,79,SSW,9 5,13 7,1030.5,0.0,2023-09-27
9:30 pm,12.1,9.6,77,SSW,11 6,13 7,1030.6,0.0,2023-09-27
9:00 pm,12.0,10.4,76,SSW,6 3,9 5,1030.6,0.0,2023-09-27
8:30 pm,12.5,10.7,73,SSW,7 4,11 6,1030.6,0.0,2023-09-27
8:00 pm,13.0,10.8,70,SSW,9 5,15 8,1030.3,0.0,2023-09-27
7:30 pm,13.5,11.2,67,S,9 5,15 8,1029.9,0.0,2023-09-27
7:00 pm,14.5,11.8,62,SSE,11 6,20 11,1029.5,0.0,2023-09-27
6:30 pm,15.0,12.3,60,S,11 6,20 11,1029.2,0.0,2023-09-27
6:00 pm,16.2,13.0,54,S,13 7,20 11,1028.9,0.0,2023-09-27
