Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.8,14.2,82,NW,6 3,9 5,1017.4,0.4,2023-06-09
11:00 pm,14.7,14.1,82,NW,6 3,7 4,1017.6,0.4,2023-06-09
10:30 pm,14.6,15.2,84,CALM,0 0,0 0,1017.7,0.4,2023-06-09
10:00 pm,14.8,14.3,83,NW,6 3,7 4,1017.8,0.4,2023-06-09
9:30 pm,14.8,14.3,83,NW,6 3,9 5,1017.9,0.4,2023-06-09
9:00 pm,15.1,15.0,82,NW,4 2,7 4,1018.1,0.4,2023-06-09
8:30 pm,15.1,15.4,82,NW,2 1,7 4,1018.3,0.4,2023-06-09
8:00 pm,15.0,14.5,83,NW,6 3,7 4,1018.3,0.4,2023-06-09
7:30 pm,14.6,14.2,86,NW,6 3,7 4,1018.3,0.4,2023-06-09
7:00 pm,14.1,14.9,90,CALM,0 0,0 0,1018.2,0.4,2023-06-09
6:30 pm,13.6,14.1,88,CALM,0 0,0 0,1018.4,0.4,2023-06-09
6:00 pm,14.0,14.4,84,CALM,0 0,0 0,1018.2,0.4,2023-06-09
5:30 pm,15.3,15.7,77,CALM,0 0,0 0,1018.0,0.4,2023-06-09
5:00 pm,17.0,16.7,69,NW,4 2,9 5,1018.1,0.4,2023-06-09
4:30 pm,17.9,17.0,66,WNW,7 4,11 6,1018.2,0.4,2023-06-09
