Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 am,22.1,24.7,84,SE,4 2,–,1008.4,0.0,2024-11-27
6:30 am,20.9,23.0,89,NE,6 3,–,1008.1,0.0,2024-11-27
6:00 am,20.1,22.5,93,NE,4 2,–,1007.8,0.0,2024-11-27
5:30 am,20.0,22.8,93,ENE,2 1,–,1007.5,0.0,2024-11-27
5:00 am,20.0,22.4,93,ENE,4 2,–,1007.1,0.0,2024-11-27
4:30 am,20.0,22.0,93,NNE,6 3,–,1007.1,0.0,2024-11-27
4:00 am,20.0,22.8,93,SE,2 1,–,1007.1,0.0,2024-11-27
3:30 am,20.0,22.0,93,NE,6 3,–,1007.2,0.0,2024-11-27
3:00 am,20.2,20.9,92,E,13 7,–,1007.0,0.0,2024-11-27
2:30 am,20.2,21.3,92,E,11 6,–,1007.1,0.0,2024-11-27
2:00 am,20.5,21.7,91,E,11 6,–,1007.7,0.0,2024-11-27
1:30 am,20.5,22.3,90,ENE,7 4,–,1008.0,0.0,2024-11-27
1:00 am,20.7,22.7,89,E,6 3,–,1008.2,0.0,2024-11-27
12:30 am,20.9,22.4,88,E,9 5,–,1008.5,0.0,2024-11-27
12:00 am,21.0,22.1,88,ENE,11 6,–,1008.9,0.0,2024-11-27
