Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 am,19.4,21.3,79,CALM,0 0,6 3,1018.1,0.0,2024-01-13
6:30 am,19.2,19.1,81,SE,11 6,15 8,1017.8,0.0,2024-01-13
6:00 am,19.7,20.2,82,SSE,9 5,15 8,1017.3,0.0,2024-01-13
5:30 am,19.5,20.4,83,S,7 4,20 11,1017.2,0.0,2024-01-13
5:00 am,19.7,20.0,84,SSW,11 6,20 11,1016.9,0.0,2024-01-13
4:30 am,19.8,20.3,82,SSW,9 5,20 11,1016.5,0.0,2024-01-13
4:00 am,20.2,20.2,73,SSW,9 5,13 7,1016.2,0.0,2024-01-13
3:30 am,20.5,20.9,70,SW,6 3,11 6,1016.2,0.0,2024-01-13
3:00 am,20.4,21.1,74,SSW,6 3,13 7,1016.0,0.0,2024-01-13
2:30 am,19.8,22.4,86,CALM,0 0,6 3,1016.2,0.0,2024-01-13
2:00 am,20.2,22.9,86,CALM,0 0,0 0,1016.3,0.0,2024-01-13
1:30 am,20.6,22.9,84,SSW,2 1,6 3,1016.3,0.0,2024-01-13
1:00 am,21.1,24.0,84,CALM,0 0,0 0,1016.7,0.0,2024-01-13
12:30 am,21.7,23.4,82,SW,7 4,13 7,1016.9,0.0,2024-01-13
12:00 am,22.0,23.2,73,SSW,6 3,13 7,1017.2,0.0,2024-01-13
