Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,24.5,21.3,29,ESE,11 6,24 13,1016.6,0.0,2024-12-19
11:00 pm,24.7,21.8,31,ESE,11 6,22 12,1016.3,0.0,2024-12-19
10:30 pm,24.3,21.7,31,SE,9 5,15 8,1016.2,0.0,2024-12-19
10:00 pm,23.9,21.9,38,SE,9 5,20 11,1016.1,0.0,2024-12-19
9:30 pm,21.8,22.0,62,S,6 3,9 5,1015.9,0.0,2024-12-19
9:00 pm,23.4,23.4,56,S,7 4,11 6,1015.7,0.0,2024-12-19
8:30 pm,23.5,23.8,59,S,7 4,9 5,1015.3,0.0,2024-12-19
8:00 pm,23.4,24.1,63,SW,7 4,9 5,1014.9,0.0,2024-12-19
7:30 pm,24.0,23.3,59,SSW,13 7,20 11,1014.5,0.0,2024-12-19
7:00 pm,24.3,23.6,58,SSW,13 7,24 13,1014.3,0.0,2024-12-19
6:30 pm,24.9,23.4,54,SSW,17 9,30 16,1014.0,0.0,2024-12-19
6:00 pm,25.5,23.5,52,SSW,19 10,35 19,1013.6,0.0,2024-12-19
5:30 pm,26.0,23.8,50,SSW,20 11,39 21,1013.5,0.0,2024-12-19
5:00 pm,26.2,23.4,48,SSW,22 12,39 21,1013.3,0.0,2024-12-19
4:30 pm,26.5,23.4,48,SSW,24 13,39 21,1013.2,0.0,2024-12-19
