Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 am,10.4,6.5,61,NNE,13 7,19 10,1018.5,0.0,2023-07-14
5:00 am,10.5,6.9,60,NNE,11 6,19 10,1018.4,0.0,2023-07-14
4:30 am,10.5,6.9,60,NNE,11 6,19 10,1018.5,0.0,2023-07-14
4:00 am,10.6,7.0,60,NNE,11 6,17 9,1018.8,0.0,2023-07-14
3:30 am,10.6,6.3,60,NNE,15 8,22 12,1018.7,0.0,2023-07-14
3:00 am,10.6,6.7,60,NNE,13 7,20 11,1019.0,0.0,2023-07-14
2:30 am,10.8,6.5,60,NNE,15 8,24 13,1019.2,0.0,2023-07-14
2:00 am,10.9,7.0,60,NNE,13 7,22 12,1019.3,0.0,2023-07-14
1:30 am,10.8,6.9,61,NNE,13 7,24 13,1019.5,0.0,2023-07-14
1:00 am,10.8,7.0,62,NNE,13 7,20 11,1019.8,0.0,2023-07-14
12:30 am,11.0,7.2,62,NNE,13 7,20 11,1019.8,0.0,2023-07-14
12:00 am,11.2,7.5,62,N,13 7,19 10,1020.2,0.0,2023-07-14
