Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:40 pm,11.3,9.1,79,W,9 5,20 11,1013.6,4.6,2025-02-15
11:30 pm,11.5,9.5,82,SSW,9 5,26 14,1013.7,4.4,2025-02-15
11:20 pm,11.7,9.6,79,SSW,9 5,20 11,1014.0,3.6,2025-02-15
11:00 pm,11.6,9.1,71,SW,9 5,24 13,1013.5,2.4,2025-02-15
10:30 pm,12.6,8.9,65,WSW,15 8,28 15,1013.7,1.6,2025-02-15
10:00 pm,13.6,10.5,58,WSW,11 6,24 13,1013.1,1.6,2025-02-15
9:30 pm,13.6,10.6,60,SW,11 6,24 13,1013.0,1.6,2025-02-15
9:00 pm,13.2,10.1,60,SW,11 6,22 12,1013.1,1.4,2025-02-15
8:30 pm,12.1,6.9,64,SSW,22 12,43 23,1013.2,1.4,2025-02-15
8:00 pm,14.8,10.0,50,S,19 10,50 27,1012.1,1.2,2025-02-15
7:30 pm,15.1,10.1,46,SSW,19 10,39 21,1011.6,1.2,2025-02-15
