Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 pm,10.0,5.5,91,NNW,22 12,30 16,1023.3,0.8,2023-07-28
5:30 pm,9.5,5.8,91,NNW,17 9,24 13,1022.9,0.8,2023-07-28
5:29 pm,9.3,5.6,91,NNW,17 9,24 13,1022.9,0.8,2023-07-28
5:00 pm,10.2,6.6,89,NNW,17 9,28 15,1022.7,0.8,2023-07-28
4:30 pm,10.3,6.8,89,NW,17 9,22 12,1022.6,0.8,2023-07-28
4:00 pm,10.4,5.2,89,NW,26 14,33 18,1022.4,0.8,2023-07-28
3:30 pm,10.7,6.2,86,NNW,22 12,33 18,1022.4,0.8,2023-07-28
3:00 pm,11.0,5.4,87,NNW,28 15,33 18,1022.0,0.8,2023-07-28
2:52 pm,11.3,6.5,85,NNW,24 13,32 17,1022.1,0.8,2023-07-28
2:30 pm,10.5,6.1,90,N,22 12,28 15,1021.9,0.8,2023-07-28
2:07 pm,9.9,5.5,93,N,22 12,28 15,1021.9,0.8,2023-07-28
2:00 pm,9.9,6.0,93,N,19 10,28 15,1022.1,0.8,2023-07-28
1:30 pm,9.9,5.7,89,NNW,20 11,30 16,1023.3,0.6,2023-07-28
1:00 pm,9.9,4.3,92,NNW,28 15,39 21,1023.2,0.6,2023-07-28
12:30 pm,10.1,5.3,91,NNW,24 13,37 20,1023.5,0.6,2023-07-28
12:00 pm,10.5,5.9,86,NW,22 12,33 18,1024.0,0.6,2023-07-28
11:30 am,10.5,5.8,91,NNW,24 13,35 19,1024.3,0.6,2023-07-28
11:00 am,10.4,5.6,89,NNW,24 13,33 18,1024.6,0.4,2023-07-28
10:30 am,10.8,4.9,80,NW,28 15,35 19,1024.9,0.0,2023-07-28
10:00 am,12.3,6.9,67,NW,24 13,32 17,1024.6,0.0,2023-07-28
9:30 am,12.6,7.2,65,NW,24 13,35 19,1024.0,0.0,2023-07-28
9:00 am,12.1,5.9,67,NNW,28 15,37 20,1023.7,0.0,2023-07-28
8:30 am,11.4,5.1,67,NW,28 15,37 20,1023.5,0.0,2023-07-28
8:00 am,10.6,4.7,72,NNW,26 14,37 20,1023.2,0.0,2023-07-28
7:30 am,9.0,3.8,78,NNW,22 12,32 17,1023.2,0.0,2023-07-28
7:00 am,9.0,3.4,79,NNW,24 13,32 17,1023.1,0.0,2023-07-28
6:30 am,8.9,3.2,77,NNW,24 13,32 17,1023.1,0.0,2023-07-28
6:00 am,9.2,4.4,77,NNW,20 11,28 15,1023.2,0.0,2023-07-28
5:30 am,9.7,4.9,76,NNW,20 11,30 16,1022.8,0.0,2023-07-28
5:00 am,9.0,3.7,76,NNW,22 12,28 15,1022.9,0.0,2023-07-28
4:30 am,9.7,4.1,75,NNW,24 13,30 16,1022.9,0.0,2023-07-28
4:00 am,8.9,3.7,78,NNW,22 12,28 15,1023.2,0.0,2023-07-28
3:30 am,8.1,3.8,82,NNW,17 9,24 13,1023.2,0.0,2023-07-28
3:00 am,7.6,4.0,83,NNW,13 7,17 9,1023.5,0.0,2023-07-28
2:30 am,7.1,4.7,81,WSW,6 3,9 5,1024.2,0.0,2023-07-28
2:00 am,5.5,3.3,97,SE,6 3,9 5,1024.5,0.0,2023-07-28
1:30 am,4.9,2.2,87,N,6 3,9 5,1024.4,0.0,2023-07-28
1:00 am,5.1,3.2,97,NE,4 2,9 5,1024.5,0.0,2023-07-28
12:30 am,3.8,0.2,95,SSW,11 6,15 8,1025.4,0.0,2023-07-28
12:00 am,4.6,2.8,92,N,2 1,7 4,1025.5,0.0,2023-07-28
