Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,8.4,7.9,97,CALM,0 0,0 0,1016.5,0.0,2023-04-29
11:00 pm,8.6,8.1,96,CALM,0 0,0 0,1016.6,0.0,2023-04-29
10:30 pm,8.6,8.1,94,CALM,0 0,0 0,1016.5,0.0,2023-04-29
10:00 pm,8.7,8.2,94,CALM,0 0,0 0,1016.5,0.0,2023-04-29
9:30 pm,8.8,8.3,93,CALM,0 0,0 0,1016.3,0.0,2023-04-29
9:00 pm,9.2,8.6,90,CALM,0 0,0 0,1016.3,0.0,2023-04-29
8:30 pm,9.8,9.3,88,CALM,0 0,0 0,1016.4,0.0,2023-04-29
8:00 pm,10.6,10.1,82,CALM,0 0,0 0,1016.1,0.0,2023-04-29
7:30 pm,11.7,9.8,72,E,6 3,11 6,1016.0,0.0,2023-04-29
7:00 pm,11.1,9.6,76,ESE,4 2,7 4,1015.6,0.0,2023-04-29
6:30 pm,11.1,10.3,73,CALM,0 0,6 3,1015.0,0.0,2023-04-29
