Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,21.4,23.8,81,SW,2 1,6 3,1012.6,0.0,2023-03-07
5:30 am,22.2,24.6,77,W,2 1,4 2,1012.4,0.0,2023-03-07
5:00 am,22.6,24.7,76,WNW,4 2,7 4,1012.3,0.0,2023-03-07
4:30 am,22.6,24.4,76,NW,6 3,7 4,1012.1,0.0,2023-03-07
4:00 am,22.6,24.7,76,NW,4 2,13 7,1012.0,0.0,2023-03-07
3:30 am,22.5,24.2,76,NW,6 3,9 5,1011.9,0.0,2023-03-07
3:00 am,22.5,24.7,77,NW,4 2,9 5,1011.9,0.0,2023-03-07
2:30 am,22.6,24.8,77,NW,4 2,9 5,1011.9,0.0,2023-03-07
2:00 am,22.7,25.3,76,NNW,2 1,9 5,1012.1,0.0,2023-03-07
1:30 am,22.9,25.1,76,NNW,4 2,11 6,1012.3,0.0,2023-03-07
1:00 am,22.8,25.4,76,N,2 1,6 3,1012.5,0.0,2023-03-07
12:30 am,23.3,25.2,75,NNW,6 3,15 8,1012.7,0.0,2023-03-07
12:00 am,23.1,25.4,76,NNW,4 2,7 4,1012.7,0.0,2023-03-07
