Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.0,12.5,79,SSW,9 5,13 7,1023.6,0.0,2024-04-05
11:00 pm,14.1,13.0,79,SSW,7 4,11 6,1023.6,0.0,2024-04-05
10:30 pm,13.9,12.6,77,SSW,7 4,11 6,1023.9,0.0,2024-04-05
10:00 pm,14.5,12.5,75,S,11 6,20 11,1024.0,0.0,2024-04-05
9:30 pm,14.3,12.2,75,S,11 6,17 9,1023.9,0.0,2024-04-05
9:00 pm,14.4,12.7,75,S,9 5,19 10,1024.1,0.0,2024-04-05
8:30 pm,14.6,12.8,72,SSE,9 5,15 8,1024.2,0.0,2024-04-05
8:00 pm,15.1,13.3,69,SSE,9 5,17 9,1024.1,0.0,2024-04-05
7:30 pm,15.9,13.2,63,SE,13 7,20 11,1023.8,0.0,2024-04-05
7:00 pm,16.7,14.3,59,SSE,11 6,19 10,1023.5,0.0,2024-04-05
