Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
10:30 am,23.4,25.1,68,S,4 2,–,1021.7,0.0,2023-02-23
10:00 am,22.0,23.1,72,NNW,6 3,–,1021.8,0.0,2023-02-23
9:30 am,20.4,21.8,78,WNW,4 2,–,1021.9,0.0,2023-02-23
9:00 am,19.9,20.7,85,W,9 5,–,1021.9,1.8,2023-02-23
8:30 am,19.0,19.3,83,W,9 5,–,1022.1,1.8,2023-02-23
8:00 am,18.9,19.5,88,W,9 5,–,1022.2,1.8,2023-02-23
7:30 am,18.4,19.9,90,WNW,4 2,–,1022.0,1.8,2023-02-23
7:00 am,18.0,18.8,90,NW,7 4,–,1021.9,1.8,2023-02-23
6:30 am,17.6,18.4,90,W,6 3,–,1021.7,1.8,2023-02-23
6:00 am,17.3,17.3,88,W,9 5,–,1021.5,1.8,2023-02-23
5:30 am,17.3,17.4,89,W,9 5,–,1021.5,1.8,2023-02-23
5:00 am,17.1,16.4,90,W,13 7,–,1021.3,1.8,2023-02-23
4:30 am,17.1,16.0,90,W,15 8,–,1021.4,1.8,2023-02-23
4:00 am,17.5,15.8,89,W,19 10,–,1021.6,1.8,2023-02-23
3:30 am,18.0,16.5,89,W,19 10,–,1021.7,1.8,2023-02-23
3:00 am,18.4,18.5,83,NW,9 5,–,1021.7,1.8,2023-02-23
2:30 am,19.4,20.0,67,S,2 1,–,1021.9,1.8,2023-02-23
2:00 am,19.9,19.7,65,S,6 3,–,1022.0,1.8,2023-02-23
1:30 am,20.4,20.0,63,SE,7 4,–,1022.1,1.8,2023-02-23
1:00 am,20.8,19.7,61,ESE,11 6,–,1022.4,1.8,2023-02-23
12:30 am,21.0,18.8,61,E,17 9,–,1022.4,1.8,2023-02-23
12:00 am,20.9,18.2,63,E,20 11,–,1022.5,1.8,2023-02-23
