0,1,Date
100%,Humidity,2023-02-22
SSE,Wind Direction,2023-02-22
1006.7,Pressure (hPa),2023-02-22
2 km/h 1 knots,Wind Speed,2023-02-22
48 km/h 26 knots,Highest Gust (2:44am),2023-02-22
