Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,19.8,17.9,60,SSE,13 7,19 10,1011.6,0.0,2024-12-24
11:00 pm,20.0,17.8,60,SSE,15 8,24 13,1011.5,0.0,2024-12-24
10:30 pm,20.3,18.2,60,SSE,15 8,22 12,1011.5,0.0,2024-12-24
10:00 pm,20.6,19.6,63,S,11 6,19 10,1011.4,0.0,2024-12-24
9:30 pm,20.7,19.5,65,S,13 7,24 13,1011.4,0.0,2024-12-24
9:00 pm,21.0,19.5,65,SSW,15 8,26 14,1011.3,0.0,2024-12-24
8:30 pm,21.0,19.4,68,SSW,17 9,32 17,1011.3,0.0,2024-12-24
8:00 pm,21.1,19.3,66,SSW,17 9,30 16,1011.2,0.0,2024-12-24
7:30 pm,21.4,20.0,65,SSW,15 8,30 16,1010.9,0.0,2024-12-24
7:00 pm,21.6,19.2,64,SSW,20 11,33 18,1010.4,0.0,2024-12-24
6:30 pm,22.4,20.2,62,SSW,20 11,33 18,1010.3,0.0,2024-12-24
6:00 pm,22.9,20.0,61,SSW,24 13,41 22,1009.9,0.0,2024-12-24
5:30 pm,23.5,20.9,58,SSW,22 12,41 22,1009.5,0.0,2024-12-24
5:00 pm,23.9,20.1,56,SSW,28 15,48 26,1009.3,0.0,2024-12-24
4:31 pm,24.1,20.3,56,SSW,28 15,46 25,1009.2,0.0,2024-12-24
4:30 pm,24.2,20.9,56,SSW,26 14,46 25,1009.2,0.0,2024-12-24
4:24 pm,24.1,20.4,57,SSW,28 15,46 25,1009.1,0.0,2024-12-24
