Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:00 am,7.1,3.9,86,NE,11 6,15 8,1024.5,0.0,2024-08-06
4:30 am,7.4,4.6,86,NE,9 5,15 8,1024.3,0.0,2024-08-06
4:00 am,6.9,4.1,88,NE,9 5,11 6,1024.4,0.0,2024-08-06
3:30 am,6.6,3.8,91,NE,9 5,11 6,1024.3,0.0,2024-08-06
3:00 am,6.2,3.8,94,NE,7 4,11 6,1024.3,0.0,2024-08-06
2:30 am,5.7,4.5,93,CALM,0 0,0 0,1024.5,0.0,2024-08-06
2:00 am,6.5,4.6,90,NNE,4 2,7 4,1024.7,0.0,2024-08-06
1:30 am,7.2,4.5,90,NNE,9 5,11 6,1024.7,0.0,2024-08-06
1:00 am,6.0,4.6,95,N,2 1,7 4,1024.9,0.0,2024-08-06
12:30 am,7.0,4.8,89,NNE,6 3,9 5,1024.9,0.0,2024-08-06
12:00 am,7.9,5.7,89,NNE,7 4,11 6,1024.8,0.0,2024-08-06
