Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,24.9,21.7,35,E,15 8,22 12,1016.4,0.0,2024-01-11
11:00 pm,24.7,21.9,36,E,13 7,17 9,1016.4,0.0,2024-01-11
10:30 pm,24.8,23.3,41,ESE,9 5,17 9,1016.4,0.0,2024-01-11
10:00 pm,24.5,23.6,42,S,6 3,9 5,1016.3,0.0,2024-01-11
9:30 pm,26.8,24.7,34,ESE,11 6,17 9,1015.9,0.0,2024-01-11
9:00 pm,25.4,25.5,45,SSE,4 2,7 4,1015.9,0.0,2024-01-11
8:30 pm,27.6,27.3,37,SE,4 2,7 4,1015.8,0.0,2024-01-11
8:00 pm,29.3,28.0,33,ESE,9 5,17 9,1015.6,0.0,2024-01-11
7:30 pm,30.8,29.5,30,SSE,9 5,13 7,1015.4,0.0,2024-01-11
7:00 pm,31.7,31.0,30,E,7 4,13 7,1015.3,0.0,2024-01-11
