Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 am,12.0,9.9,77,NW,9 5,15 8,1021.0,0.0,2023-11-07
6:30 am,11.4,7.6,78,NW,17 9,24 13,1020.9,0.0,2023-11-07
6:00 am,11.1,6.9,79,NW,19 10,24 13,1020.6,0.0,2023-11-07
5:30 am,10.5,7.5,83,NW,13 7,19 10,1020.7,0.0,2023-11-07
5:00 am,10.5,8.2,82,WNW,9 5,17 9,1020.7,0.0,2023-11-07
4:30 am,10.9,7.8,79,NW,13 7,22 12,1020.5,0.0,2023-11-07
4:00 am,11.3,6.9,78,NW,20 11,28 15,1020.5,0.0,2023-11-07
3:30 am,11.4,7.5,76,NNW,17 9,22 12,1020.6,0.0,2023-11-07
3:00 am,11.5,7.3,77,NNW,19 10,22 12,1020.7,0.0,2023-11-07
2:30 am,11.5,8.5,78,NNW,13 7,20 11,1020.8,0.0,2023-11-07
2:00 am,11.2,9.3,79,N,7 4,11 6,1021.1,0.0,2023-11-07
1:30 am,11.0,9.3,79,NNW,6 3,7 4,1021.4,0.0,2023-11-07
1:00 am,11.2,10.7,79,CALM,0 0,0 0,1021.7,0.0,2023-11-07
12:30 am,11.3,9.5,79,SW,7 4,9 5,1021.9,0.0,2023-11-07
12:00 am,11.6,9.8,78,SW,7 4,9 5,1022.2,0.0,2023-11-07
