Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:46 pm,20.5,21.2,81,ESE,9 5,11 6,1024.3,0.0,2024-03-08
11:30 pm,21.4,22.3,79,ENE,9 5,11 6,1024.3,0.0,2024-03-08
11:00 pm,21.6,22.6,79,E,9 5,13 7,1024.3,0.0,2024-03-08
10:30 pm,22.1,23.1,76,ESE,9 5,17 9,1024.1,0.0,2024-03-08
10:00 pm,22.8,23.7,72,ESE,9 5,15 8,1024.0,0.0,2024-03-08
9:30 pm,23.8,23.8,66,ENE,13 7,19 10,1023.5,0.0,2024-03-08
9:00 pm,24.4,24.3,63,ENE,13 7,19 10,1022.9,0.0,2024-03-08
8:30 pm,24.8,24.9,60,ENE,11 6,15 8,1022.6,0.0,2024-03-08
8:00 pm,25.3,24.9,57,ENE,13 7,19 10,1022.1,0.0,2024-03-08
7:30 pm,26.3,25.2,54,ENE,17 9,24 13,1021.8,0.0,2024-03-08
