Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,14.8,14.8,78,SSE,2 1,7 4,1015.8,0.0,2023-03-01
6:00 am,15.6,14.2,74,SE,9 5,13 7,1015.5,0.0,2023-03-01
5:30 am,16.2,15.1,69,S,7 4,15 8,1015.5,0.0,2023-03-01
5:00 am,16.4,15.2,67,S,7 4,17 9,1015.4,0.0,2023-03-01
4:30 am,16.2,15.2,68,S,6 3,9 5,1015.4,0.0,2023-03-01
4:00 am,15.9,14.5,66,S,7 4,13 7,1015.3,0.0,2023-03-01
3:30 am,16.3,14.5,64,SSE,9 5,15 8,1015.2,0.0,2023-03-01
3:00 am,16.3,14.8,63,SSE,7 4,13 7,1015.4,0.0,2023-03-01
2:30 am,16.4,14.5,61,S,9 5,20 11,1015.5,0.0,2023-03-01
2:00 am,16.4,14.1,61,SSW,11 6,17 9,1015.6,0.0,2023-03-01
1:30 am,16.4,13.6,60,SSW,13 7,20 11,1015.9,0.0,2023-03-01
1:00 am,16.3,14.0,62,SSW,11 6,17 9,1016.1,0.0,2023-03-01
12:30 am,16.3,14.3,61,S,9 5,15 8,1016.3,0.0,2023-03-01
12:00 am,16.3,13.7,64,SSW,13 7,22 12,1016.6,0.0,2023-03-01
