Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 am,14.2,15.5,99,CALM,0 0,0 0,1010.5,40.2,2024-07-18
3:30 am,14.2,14.3,99,S,6 3,11 6,1010.2,40.0,2024-07-18
3:00 am,14.8,15.1,99,SW,6 3,13 7,1010.1,38.4,2024-07-18
2:30 am,15.0,16.6,99,CALM,0 0,0 0,1009.5,37.8,2024-07-18
2:00 am,15.1,15.4,99,SW,7 4,13 7,1010.1,37.8,2024-07-18
1:30 am,15.3,15.3,99,WSW,9 5,17 9,1010.0,37.4,2024-07-18
1:00 am,15.1,15.4,99,W,7 4,13 7,1010.3,35.6,2024-07-18
12:30 am,15.0,14.3,96,WSW,11 6,20 11,1010.5,34.2,2024-07-18
12:00 am,15.4,14.3,94,WSW,13 7,19 10,1010.3,33.0,2024-07-18
