Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.0,11.3,70,NE,6 3,11 6,1012.9,0.0,2023-08-16
11:00 pm,12.1,11.2,75,ESE,2 1,9 5,1013.2,0.0,2023-08-16
10:30 pm,12.0,11.4,73,CALM,0 0,0 0,1013.7,0.0,2023-08-16
10:00 pm,12.0,11.4,73,CALM,0 0,0 0,1013.8,0.0,2023-08-16
9:30 pm,11.8,11.1,73,CALM,0 0,0 0,1013.8,0.0,2023-08-16
9:00 pm,12.0,10.5,71,ENE,4 2,6 3,1014.1,0.0,2023-08-16
8:30 pm,12.7,11.1,72,NE,6 3,11 6,1014.3,0.0,2023-08-16
8:00 pm,11.8,11.0,79,E,2 1,7 4,1014.3,0.0,2023-08-16
7:30 pm,12.5,10.8,75,SSW,7 4,9 5,1014.4,0.0,2023-08-16
7:00 pm,13.4,12.9,69,CALM,0 0,0 0,1014.3,0.0,2023-08-16
6:30 pm,14.1,12.8,65,W,4 2,7 4,1014.1,0.0,2023-08-16
6:00 pm,15.5,14.9,58,CALM,0 0,0 0,1014.2,0.0,2023-08-16
