Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 pm,21.6,18.9,44,SW,13 7,20 11,1015.8,0.0,2025-04-18
3:30 pm,21.5,18.3,43,SSW,15 8,26 14,1015.9,0.0,2025-04-18
3:00 pm,21.0,17.5,45,SW,17 9,28 15,1015.8,0.0,2025-04-18
2:30 pm,21.4,18.5,43,S,13 7,26 14,1015.7,0.0,2025-04-18
2:00 pm,21.0,18.1,43,S,13 7,20 11,1015.7,0.0,2025-04-18
1:30 pm,20.5,17.5,44,SSW,13 7,22 12,1016.1,0.0,2025-04-18
1:00 pm,20.9,18.7,48,SW,11 6,22 12,1016.2,0.0,2025-04-18
12:30 pm,20.8,17.8,43,S,13 7,22 12,1016.7,0.0,2025-04-18
12:00 pm,20.7,16.9,43,SSE,17 9,26 14,1016.9,0.0,2025-04-18
11:30 am,20.6,18.8,49,SE,9 5,17 9,1016.9,0.0,2025-04-18
11:00 am,19.6,17.3,50,SSE,11 6,19 10,1017.4,0.0,2025-04-18
10:30 am,18.9,17.3,57,SSE,9 5,15 8,1017.6,0.0,2025-04-18
10:00 am,17.7,15.5,64,SSE,13 7,19 10,1017.8,0.0,2025-04-18
9:30 am,16.6,15.5,68,SSE,7 4,13 7,1017.9,0.0,2025-04-18
9:00 am,15.2,12.8,72,SSE,13 7,20 11,1018.1,0.0,2025-04-18
8:30 am,15.0,13.5,75,SSE,9 5,15 8,1018.0,0.0,2025-04-18
8:00 am,13.8,11.1,79,SE,15 8,22 12,1017.8,0.0,2025-04-18
7:30 am,13.0,10.5,81,SSE,13 7,19 10,1017.4,0.0,2025-04-18
7:00 am,11.3,10.1,90,SSE,6 3,11 6,1016.9,0.0,2025-04-18
6:30 am,11.7,11.2,85,SSE,2 1,7 4,1016.6,0.0,2025-04-18
6:00 am,12.6,10.9,83,SSE,9 5,15 8,1016.5,0.0,2025-04-18
5:30 am,12.8,11.4,81,SSE,7 4,9 5,1016.3,0.0,2025-04-18
5:00 am,13.0,11.8,80,SSE,6 3,7 4,1016.1,0.0,2025-04-18
4:30 am,13.7,12.5,77,SSE,6 3,9 5,1015.8,0.0,2025-04-18
4:00 am,14.1,12.9,75,SSE,6 3,9 5,1015.7,0.0,2025-04-18
3:30 am,14.6,13.3,74,SSE,7 4,13 7,1015.5,0.0,2025-04-18
3:00 am,14.1,13.2,79,SSE,6 3,13 7,1015.3,0.0,2025-04-18
2:30 am,13.8,14.0,81,CALM,0 0,0 0,1015.3,0.0,2025-04-18
2:00 am,15.5,14.7,74,SSE,6 3,7 4,1015.3,0.0,2025-04-18
1:30 am,16.1,14.8,73,SSE,9 5,15 8,1015.4,0.0,2025-04-18
1:00 am,16.4,14.3,72,S,13 7,20 11,1015.4,0.0,2025-04-18
12:30 am,16.7,14.4,72,S,15 8,24 13,1015.2,0.0,2025-04-18
12:00 am,16.7,14.8,73,SSW,13 7,28 15,1015.0,0.0,2025-04-18
