Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,10.8,8.4,78,S,9 5,17 9,1014.0,0.2,2025-09-10
11:00 pm,10.3,7.9,79,SSE,9 5,17 9,1013.8,0.2,2025-09-10
10:30 pm,10.0,7.6,82,SSW,9 5,17 9,1013.8,0.2,2025-09-10
10:00 pm,10.6,6.9,74,S,15 8,26 14,1013.6,0.2,2025-09-10
9:30 pm,10.4,7.1,77,SSW,13 7,24 13,1013.4,0.2,2025-09-10
9:00 pm,10.6,7.5,80,SSW,13 7,26 14,1013.3,0.2,2025-09-10
8:30 pm,10.7,8.2,75,S,9 5,20 11,1013.1,0.2,2025-09-10
8:00 pm,10.6,7.0,76,S,15 8,24 13,1012.8,0.2,2025-09-10
7:30 pm,10.5,7.6,76,S,11 6,24 13,1012.5,0.2,2025-09-10
7:00 pm,10.8,6.8,67,SSE,15 8,28 15,1012.0,0.2,2025-09-10
6:30 pm,10.7,7.0,66,SSE,13 7,24 13,1011.6,0.2,2025-09-10
