Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,17.1,14.6,62,NE,13 7,19 10,1017.8,0.0,2023-06-02
11:00 pm,17.2,14.5,64,NE,15 8,26 14,1017.8,0.0,2023-06-02
10:30 pm,17.4,14.3,63,NE,17 9,24 13,1017.8,0.0,2023-06-02
10:00 pm,17.6,14.9,63,ENE,15 8,26 14,1017.7,0.0,2023-06-02
9:30 pm,17.8,14.7,61,ENE,17 9,26 14,1017.7,0.0,2023-06-02
9:00 pm,17.9,15.5,60,ENE,13 7,24 13,1017.4,0.0,2023-06-02
8:30 pm,17.7,15.6,60,ENE,11 6,20 11,1017.3,0.0,2023-06-02
8:00 pm,18.1,15.2,58,ENE,15 8,20 11,1017.2,0.0,2023-06-02
7:30 pm,18.0,15.5,58,NE,13 7,20 11,1017.2,0.0,2023-06-02
7:00 pm,18.4,15.7,54,ENE,13 7,19 10,1017.1,0.0,2023-06-02
6:30 pm,18.5,16.2,54,ENE,11 6,17 9,1016.7,0.0,2023-06-02
6:00 pm,19.0,15.9,52,ENE,15 8,22 12,1016.4,0.0,2023-06-02
5:30 pm,19.2,16.6,53,ENE,13 7,20 11,1016.0,0.0,2023-06-02
5:00 pm,19.4,17.0,54,ENE,13 7,22 12,1016.3,0.0,2023-06-02
4:30 pm,19.3,17.4,57,ENE,11 6,17 9,1016.4,0.0,2023-06-02
4:00 pm,19.4,17.6,58,ENE,11 6,17 9,1016.3,0.0,2023-06-02
3:30 pm,19.9,18.2,57,NE,11 6,15 8,1016.3,0.0,2023-06-02
3:00 pm,19.7,17.8,60,NE,13 7,19 10,1016.5,0.0,2023-06-02
2:30 pm,19.0,17.9,63,NE,9 5,15 8,1016.8,0.0,2023-06-02
2:00 pm,18.6,17.4,64,ENE,9 5,17 9,1016.7,0.0,2023-06-02
1:30 pm,17.3,16.2,71,ENE,9 5,13 7,1017.4,0.0,2023-06-02
1:00 pm,17.2,15.3,71,E,13 7,20 11,1017.8,0.0,2023-06-02
12:30 pm,17.0,15.1,72,NE,13 7,19 10,1018.1,0.0,2023-06-02
12:00 pm,16.6,15.5,74,NNW,9 5,15 8,1018.6,0.0,2023-06-02
11:30 am,17.4,17.3,71,NNE,4 2,9 5,1018.2,0.0,2023-06-02
11:00 am,17.6,14.8,66,ENE,17 9,24 13,1018.1,0.0,2023-06-02
10:30 am,17.2,15.0,66,NE,13 7,26 14,1019.1,0.0,2023-06-02
10:00 am,16.9,14.7,67,NE,13 7,19 10,1019.5,0.0,2023-06-02
9:30 am,16.4,14.6,69,NE,11 6,19 10,1019.6,0.0,2023-06-02
9:00 am,15.9,14.0,70,NNE,11 6,17 9,1019.6,0.0,2023-06-02
8:30 am,15.9,14.3,69,NNE,9 5,15 8,1019.6,0.0,2023-06-02
8:00 am,16.0,14.7,67,NE,7 4,15 8,1018.9,0.0,2023-06-02
7:30 am,16.5,14.4,64,NE,11 6,17 9,1018.7,0.0,2023-06-02
7:00 am,16.2,13.7,66,ENE,13 7,20 11,1018.5,0.0,2023-06-02
6:30 am,15.7,13.7,69,NE,11 6,17 9,1018.8,0.0,2023-06-02
6:00 am,16.0,13.6,68,ENE,13 7,22 12,1018.5,0.0,2023-06-02
5:30 am,15.6,12.8,69,NE,15 8,20 11,1018.5,0.0,2023-06-02
5:00 am,15.3,13.3,71,NE,11 6,20 11,1018.6,0.0,2023-06-02
4:30 am,15.4,12.6,70,NE,15 8,20 11,1018.5,0.0,2023-06-02
4:00 am,14.5,12.8,73,NE,9 5,15 8,1019.1,0.0,2023-06-02
3:30 am,14.7,12.6,73,NE,11 6,20 11,1019.3,0.0,2023-06-02
3:00 am,15.0,13.0,73,NE,11 6,20 11,1019.3,0.0,2023-06-02
2:30 am,15.4,12.7,71,NE,15 8,22 12,1019.3,0.0,2023-06-02
2:00 am,15.2,13.6,72,ENE,9 5,15 8,1019.4,0.0,2023-06-02
1:30 am,15.0,13.4,73,ENE,9 5,13 7,1019.3,0.0,2023-06-02
1:00 am,15.0,12.6,73,ENE,13 7,19 10,1019.8,0.0,2023-06-02
12:30 am,15.0,12.7,74,ENE,13 7,19 10,1020.0,0.0,2023-06-02
12:00 am,15.1,13.1,73,ENE,11 6,20 11,1020.3,0.0,2023-06-02
