Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,9.7,8.5,99,NNE,6 3,9 5,1016.0,7.8,2025-04-21
11:00 pm,10.5,10.7,100,CALM,0 0,6 3,1016.2,7.8,2025-04-21
10:30 pm,9.8,8.4,99,SE,7 4,13 7,1016.4,7.8,2025-04-21
10:00 pm,11.3,10.3,99,SSW,7 4,11 6,1016.5,7.8,2025-04-21
9:30 pm,11.9,11.1,99,S,7 4,9 5,1016.2,7.8,2025-04-21
9:00 pm,12.1,11.4,99,SSE,7 4,9 5,1016.4,7.8,2025-04-21
8:30 pm,12.2,11.6,100,SSE,7 4,7 4,1016.2,7.8,2025-04-21
8:00 pm,12.8,12.3,99,SE,7 4,9 5,1016.0,7.8,2025-04-21
7:30 pm,12.8,12.0,100,SSE,9 5,13 7,1016.0,7.4,2025-04-21
7:00 pm,13.0,11.9,100,SSW,11 6,13 7,1015.6,7.4,2025-04-21
6:30 pm,13.0,12.6,100,SSW,7 4,11 6,1015.1,7.2,2025-04-21
