Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.6,13.3,73,SE,7 4,15 8,1020.1,0.0,2024-10-14
11:00 pm,14.8,13.5,73,SE,7 4,17 9,1020.1,0.0,2024-10-14
10:30 pm,15.0,12.6,73,ESE,13 7,28 15,1020.0,0.0,2024-10-14
10:00 pm,15.1,13.5,73,ESE,9 5,22 12,1020.1,0.0,2024-10-14
9:30 pm,15.4,13.5,72,ESE,11 6,26 14,1020.1,0.0,2024-10-14
9:00 pm,15.8,14.4,72,SE,9 5,15 8,1020.0,0.0,2024-10-14
8:30 pm,16.3,13.3,70,SE,17 9,33 18,1019.6,0.0,2024-10-14
8:00 pm,17.2,14.7,67,SE,15 8,28 15,1019.2,0.0,2024-10-14
7:30 pm,18.4,14.9,62,SE,20 11,35 19,1018.7,0.0,2024-10-14
7:00 pm,19.6,17.5,58,SE,13 7,28 15,1018.1,0.0,2024-10-14
6:30 pm,17.6,16.0,74,SSW,13 7,20 11,1018.1,0.0,2024-10-14
6:00 pm,17.7,16.1,73,SSW,13 7,20 11,1018.3,0.0,2024-10-14
5:30 pm,18.1,15.8,72,SSW,17 9,32 17,1018.2,0.0,2024-10-14
5:00 pm,18.6,16.3,70,SSW,17 9,32 17,1017.9,0.0,2024-10-14
4:30 pm,18.7,16.5,71,SSW,17 9,28 15,1017.8,0.0,2024-10-14
4:00 pm,18.5,17.1,72,SSW,13 7,28 15,1018.1,0.0,2024-10-14
3:30 pm,17.6,15.7,75,SW,15 8,32 17,1018.4,0.0,2024-10-14
3:00 pm,17.9,16.4,73,SSW,13 7,26 14,1018.5,0.0,2024-10-14
2:30 pm,18.2,16.7,72,SSW,13 7,24 13,1018.7,0.0,2024-10-14
2:00 pm,17.4,14.5,72,SSW,19 10,32 17,1018.8,0.0,2024-10-14
1:30 pm,18.1,15.5,67,SSW,17 9,26 14,1018.8,0.0,2024-10-14
1:00 pm,18.2,15.6,67,SSW,17 9,28 15,1018.9,0.0,2024-10-14
12:30 pm,18.0,15.5,69,SSW,17 9,28 15,1019.2,0.0,2024-10-14
12:00 pm,17.2,15.6,75,SSW,13 7,22 12,1019.5,0.0,2024-10-14
11:30 am,17.3,15.9,78,SSW,13 7,20 11,1019.7,0.0,2024-10-14
11:00 am,17.1,15.5,76,SSW,13 7,20 11,1019.7,0.0,2024-10-14
10:30 am,16.4,15.3,81,SSW,11 6,20 11,1019.7,0.0,2024-10-14
10:00 am,16.5,15.5,82,SSW,11 6,17 9,1019.6,0.0,2024-10-14
9:30 am,15.7,14.5,83,SSW,11 6,17 9,1019.4,0.0,2024-10-14
9:00 am,16.0,15.8,83,S,6 3,9 5,1019.1,0.0,2024-10-14
8:30 am,15.7,15.9,85,SSW,4 2,9 5,1018.8,0.0,2024-10-14
8:00 am,14.5,14.7,90,SW,4 2,9 5,1018.5,0.0,2024-10-14
7:30 am,14.6,13.8,89,SW,9 5,13 7,1018.5,0.0,2024-10-14
