Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,16.9,15.8,66,NNE,7 4,13 7,1014.7,0.0,2024-12-09
6:00 am,17.0,16.0,65,NNE,6 3,9 5,1014.7,0.0,2024-12-09
5:30 am,16.8,16.2,66,ENE,4 2,6 3,1014.4,0.0,2024-12-09
5:00 am,16.8,16.5,65,SSE,2 1,6 3,1014.8,0.0,2024-12-09
4:30 am,16.8,15.8,65,S,6 3,9 5,1014.8,0.0,2024-12-09
4:00 am,16.9,15.9,65,ESE,6 3,9 5,1014.7,0.0,2024-12-09
3:30 am,16.6,16.3,66,NNE,2 1,7 4,1014.8,0.0,2024-12-09
3:00 am,16.8,15.2,65,NNE,9 5,15 8,1014.4,0.0,2024-12-09
2:30 am,17.0,16.1,66,NNE,6 3,13 7,1014.3,0.0,2024-12-09
2:00 am,17.1,16.0,65,NE,7 4,11 6,1014.6,0.0,2024-12-09
1:30 am,17.2,17.0,64,E,2 1,9 5,1015.2,0.0,2024-12-09
1:00 am,16.9,17.1,67,CALM,0 0,0 0,1016.1,0.0,2024-12-09
12:30 am,17.1,16.9,65,N,2 1,7 4,1016.5,0.0,2024-12-09
12:00 am,17.3,16.7,64,NNW,4 2,6 3,1016.4,0.0,2024-12-09
