Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,20.6,19.5,67,SE,13 7,22 12,1022.9,0.0,2025-03-15
11:00 pm,21.0,20.6,65,SE,9 5,20 11,1022.9,0.0,2025-03-15
10:30 pm,21.2,20.7,63,SE,9 5,15 8,1022.9,0.0,2025-03-15
10:00 pm,21.5,20.7,62,SSE,11 6,17 9,1022.7,0.0,2025-03-15
9:30 pm,22.0,21.2,60,SSE,11 6,20 11,1022.5,0.0,2025-03-15
9:00 pm,22.5,20.9,58,SSE,15 8,22 12,1022.3,0.0,2025-03-15
8:30 pm,22.8,22.1,59,SSE,11 6,17 9,1022.0,0.0,2025-03-15
8:00 pm,23.5,22.4,56,SSE,13 7,22 12,1021.4,0.0,2025-03-15
7:30 pm,23.8,22.6,54,SSE,13 7,20 11,1020.9,0.0,2025-03-15
7:00 pm,24.2,22.9,52,SSE,13 7,19 10,1020.4,0.0,2025-03-15
6:30 pm,24.7,23.6,52,SE,13 7,20 11,1019.8,0.0,2025-03-15
6:00 pm,25.3,23.6,51,SSE,17 9,26 14,1019.3,0.0,2025-03-15
5:30 pm,25.9,24.9,50,SSE,13 7,22 12,1018.9,0.0,2025-03-15
5:00 pm,25.5,24.9,58,SW,15 8,28 15,1018.7,0.0,2025-03-15
4:30 pm,25.4,24.0,57,SW,19 10,30 16,1018.7,0.0,2025-03-15
