Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.7,10.1,80,SW,13 7,20 11,1017.2,0.0,2023-10-30
11:00 pm,14.4,10.6,63,WSW,17 9,28 15,1016.9,0.0,2023-10-30
10:30 pm,14.0,9.9,59,WSW,17 9,33 18,1016.8,0.0,2023-10-30
10:00 pm,14.7,9.9,61,WSW,22 12,35 19,1016.5,0.0,2023-10-30
9:30 pm,14.4,10.0,63,WSW,20 11,33 18,1015.9,0.0,2023-10-30
9:00 pm,14.5,9.5,59,WSW,22 12,41 22,1015.7,0.0,2023-10-30
8:30 pm,14.3,10.2,69,WSW,20 11,32 17,1015.4,0.0,2023-10-30
8:00 pm,15.0,11.1,60,WSW,17 9,30 16,1014.8,0.0,2023-10-30
7:30 pm,15.1,10.3,59,WSW,22 12,41 22,1014.3,0.0,2023-10-30
7:00 pm,15.7,11.3,57,WSW,20 11,35 19,1013.8,0.0,2023-10-30
6:30 pm,15.8,10.3,51,SW,24 13,41 22,1013.5,0.0,2023-10-30
6:00 pm,16.7,11.3,50,SW,24 13,35 19,1013.3,0.0,2023-10-30
5:30 pm,17.4,12.4,49,SW,22 12,41 22,1012.9,0.0,2023-10-30
5:00 pm,17.4,12.1,49,SW,24 13,33 18,1012.5,0.0,2023-10-30
4:30 pm,17.6,12.5,52,SW,24 13,44 24,1012.4,0.0,2023-10-30
4:00 pm,18.0,13.2,55,SW,24 13,48 26,1012.3,0.0,2023-10-30
3:30 pm,17.9,13.6,49,SW,19 10,35 19,1012.1,0.0,2023-10-30
3:00 pm,18.6,13.6,45,WSW,22 12,35 19,1012.3,0.0,2023-10-30
2:30 pm,17.0,12.5,51,SW,20 11,35 19,1012.7,0.0,2023-10-30
2:00 pm,17.7,12.8,54,SW,24 13,37 20,1012.7,0.0,2023-10-30
1:30 pm,18.7,14.6,63,WSW,24 13,41 22,1012.4,0.0,2023-10-30
1:00 pm,19.3,16.0,61,W,20 11,30 16,1012.1,0.0,2023-10-30
12:30 pm,18.2,14.9,63,WSW,19 10,28 15,1012.1,0.0,2023-10-30
12:00 pm,18.0,15.4,68,WSW,17 9,28 15,1012.2,0.0,2023-10-30
11:30 am,18.9,15.3,58,WNW,20 11,30 16,1012.2,0.0,2023-10-30
11:00 am,19.1,15.4,56,NW,20 11,33 18,1012.0,0.0,2023-10-30
10:30 am,18.0,14.1,58,WNW,20 11,33 18,1011.9,0.0,2023-10-30
10:00 am,17.9,14.1,59,NW,20 11,35 19,1011.7,0.0,2023-10-30
9:30 am,17.4,13.7,60,WNW,19 10,24 13,1011.8,0.0,2023-10-30
9:00 am,17.3,14.0,61,WNW,17 9,22 12,1011.7,0.0,2023-10-30
8:30 am,16.5,13.7,66,WNW,15 8,24 13,1011.6,0.0,2023-10-30
8:00 am,15.7,13.4,71,WNW,13 7,24 13,1011.6,0.0,2023-10-30
7:30 am,13.3,11.9,74,N,6 3,9 5,1011.4,0.0,2023-10-30
7:00 am,12.8,11.1,75,N,7 4,9 5,1010.9,0.0,2023-10-30
