Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,15.3,13.6,77,E,11 6,17 9,1019.9,0.0,2024-02-24
11:00 pm,15.4,13.4,77,ESE,13 7,19 10,1020.1,0.0,2024-02-24
10:30 pm,15.4,13.1,78,E,15 8,24 13,1020.2,0.0,2024-02-24
10:00 pm,15.5,12.8,78,ENE,17 9,28 15,1020.0,0.0,2024-02-24
9:30 pm,15.6,13.3,77,E,15 8,19 10,1019.5,0.0,2024-02-24
9:00 pm,15.8,12.8,77,E,19 10,26 14,1019.1,0.0,2024-02-24
8:30 pm,16.0,12.3,75,E,22 12,35 19,1018.5,0.0,2024-02-24
8:00 pm,16.2,11.8,74,E,26 14,33 18,1017.7,0.0,2024-02-24
7:30 pm,17.0,13.0,71,E,24 13,33 18,1017.3,0.0,2024-02-24
