Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 am,16.5,13.9,44,NNE,7 4,13 7,1016.3,0.0,2023-08-29
5:00 am,16.8,13.9,44,NNE,9 5,15 8,1016.5,0.0,2023-08-29
4:30 am,17.9,13.7,39,NE,15 8,20 11,1016.2,0.0,2023-08-29
4:00 am,18.5,14.2,36,NE,15 8,22 12,1016.6,0.0,2023-08-29
3:30 am,18.8,15.1,38,ENE,13 7,20 11,1017.0,0.0,2023-08-29
3:00 am,17.9,14.6,42,NE,11 6,15 8,1017.6,0.0,2023-08-29
2:30 am,17.3,14.4,44,NE,9 5,15 8,1018.1,0.0,2023-08-29
2:00 am,17.8,13.9,44,NE,15 8,24 13,1018.3,0.0,2023-08-29
1:30 am,17.5,13.8,47,NE,15 8,20 11,1018.5,0.0,2023-08-29
1:00 am,16.2,12.9,53,NE,13 7,17 9,1019.1,0.0,2023-08-29
12:30 am,16.2,13.7,53,NE,9 5,15 8,1019.4,0.0,2023-08-29
12:00 am,14.9,12.4,58,NE,9 5,11 6,1019.6,0.0,2023-08-29
