Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,15.8,14.9,82,SSE,9 5,20 11,1014.8,0.0,2023-11-26
6:01 am,15.9,15.8,88,SSW,7 4,13 7,1014.6,0.0,2023-11-26
6:00 am,15.9,15.8,88,SSW,7 4,13 7,1014.6,0.0,2023-11-26
5:30 am,15.8,15.7,88,SSW,7 4,11 6,1014.2,0.0,2023-11-26
5:00 am,15.8,15.8,87,SSW,6 3,11 6,1013.9,0.0,2023-11-26
4:30 am,15.7,16.9,88,CALM,0 0,6 3,1014.0,0.0,2023-11-26
4:00 am,15.7,15.7,87,S,6 3,9 5,1013.8,0.0,2023-11-26
3:40 am,15.8,15.7,85,SSW,6 3,9 5,1013.8,0.0,2023-11-26
3:30 am,15.8,15.6,86,SSW,7 4,11 6,1013.8,0.0,2023-11-26
3:00 am,15.8,15.6,86,SW,7 4,13 7,1014.0,0.0,2023-11-26
2:56 am,15.9,15.7,86,SW,7 4,13 7,1014.1,0.0,2023-11-26
2:30 am,15.8,15.5,85,S,7 4,9 5,1014.0,0.0,2023-11-26
2:00 am,15.9,15.6,84,SSW,7 4,13 7,1014.3,0.0,2023-11-26
1:30 am,16.1,16.0,83,S,6 3,9 5,1014.3,0.0,2023-11-26
1:00 am,16.1,15.7,82,SSW,7 4,13 7,1014.6,0.0,2023-11-26
12:30 am,16.1,15.3,81,SSW,9 5,13 7,1014.7,0.0,2023-11-26
12:00 am,16.2,15.0,81,SSW,11 6,17 9,1014.7,0.0,2023-11-26
