Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 am,24.1,21.7,53,N,19 10,28 15,1010.6,–,2025-03-20
6:30 am,23.7,21.9,52,N,15 8,22 12,1010.7,–,2025-03-20
6:00 am,23.9,21.5,49,N,17 9,24 13,1010.4,–,2025-03-20
5:30 am,23.9,21.7,48,N,15 8,24 13,1010.5,–,2025-03-20
5:00 am,23.0,20.5,43,NNW,13 7,20 11,1010.7,–,2025-03-20
4:30 am,21.0,18.8,38,NE,7 4,11 6,1010.8,–,2025-03-20
4:00 am,21.2,19.7,39,NNE,4 2,11 6,1011.1,–,2025-03-20
3:30 am,21.2,18.6,38,N,9 5,13 7,1011.4,–,2025-03-20
3:00 am,22.3,19.6,34,N,9 5,11 6,1011.7,0.0,2025-03-20
2:30 am,21.8,19.3,37,NNW,9 5,13 7,1012.0,–,2025-03-20
2:00 am,21.7,19.3,39,N,9 5,13 7,1012.3,–,2025-03-20
1:30 am,21.9,19.6,39,N,9 5,11 6,1012.4,–,2025-03-20
1:00 am,23.0,20.2,36,N,11 6,15 8,1012.4,–,2025-03-20
12:30 am,23.5,21.0,37,N,11 6,15 8,1012.3,–,2025-03-20
12:00 am,23.8,21.7,37,N,9 5,13 7,1012.3,–,2025-03-20
