Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,20.4,23.1,90,SSW,2 1,–,1018.9,0.0,2024-03-25
11:00 pm,20.9,23.7,88,ESE,2 1,–,1018.8,0.0,2024-03-25
10:30 pm,21.2,23.4,89,E,6 3,–,1018.5,0.0,2024-03-25
10:00 pm,21.3,24.0,89,E,4 2,–,1018.5,0.0,2024-03-25
9:30 pm,21.5,23.6,88,E,7 4,–,1018.4,0.0,2024-03-25
9:00 pm,21.6,22.9,86,E,11 6,–,1018.2,0.0,2024-03-25
8:30 pm,21.9,22.3,83,E,15 8,–,1018.0,0.0,2024-03-25
8:00 pm,22.2,22.2,73,ESE,13 7,–,1017.5,0.0,2024-03-25
7:30 pm,22.4,23.3,74,NE,9 5,–,1017.0,0.0,2024-03-25
