Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:00 am,2.1,0.4,97,CALM,0 0,0 0,1030.4,0.0,2024-09-17
4:30 am,2.2,0.5,98,CALM,0 0,0 0,1030.4,0.0,2024-09-17
4:00 am,2.4,0.7,97,CALM,0 0,0 0,1030.1,0.0,2024-09-17
3:30 am,2.8,1.2,96,CALM,0 0,0 0,1030.3,0.0,2024-09-17
3:00 am,3.1,1.5,95,CALM,0 0,0 0,1030.6,0.0,2024-09-17
2:30 am,3.3,1.7,96,CALM,0 0,0 0,1030.8,0.0,2024-09-17
2:00 am,3.3,1.7,93,CALM,0 0,0 0,1030.9,0.0,2024-09-17
1:30 am,3.6,2.0,91,CALM,0 0,0 0,1031.1,0.0,2024-09-17
1:00 am,4.1,2.2,91,SE,2 1,7 4,1031.5,0.0,2024-09-17
12:30 am,4.7,3.2,90,CALM,0 0,0 0,1031.8,0.0,2024-09-17
12:00 am,4.6,3.2,91,CALM,0 0,0 0,1032.0,0.0,2024-09-17
