Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 am,10.3,6.1,56,NE,13 7,19 10,1021.8,0.0,2024-07-23
5:00 am,10.0,6.2,57,NE,11 6,17 9,1021.7,0.0,2024-07-23
4:30 am,10.0,5.9,59,NE,13 7,19 10,1021.5,0.0,2024-07-23
4:00 am,10.1,6.4,58,NE,11 6,15 8,1021.6,0.0,2024-07-23
3:30 am,10.2,6.5,58,NNE,11 6,15 8,1021.7,0.0,2024-07-23
3:00 am,10.2,6.9,59,NE,9 5,15 8,1021.9,0.0,2024-07-23
2:30 am,10.1,6.5,60,NE,11 6,15 8,1022.2,0.0,2024-07-23
2:00 am,10.3,7.1,60,NNE,9 5,13 7,1022.4,0.0,2024-07-23
1:30 am,10.7,7.1,59,NNE,11 6,17 9,1022.6,0.0,2024-07-23
1:00 am,11.0,7.5,59,NNE,11 6,17 9,1022.7,0.0,2024-07-23
12:30 am,11.0,7.9,61,NNE,9 5,15 8,1022.9,0.0,2024-07-23
12:00 am,11.2,8.2,62,NNE,9 5,15 8,1022.9,0.0,2024-07-23
