Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.8,6.3,58,NNW,28 15,46 25,1010.8,0.2,2023-11-13
11:25 pm,12.9,6.4,58,NNW,28 15,46 25,1010.9,0.2,2023-11-13
11:00 pm,13.1,6.6,56,NNW,28 15,35 19,1011.1,0.2,2023-11-13
10:30 pm,13.3,6.3,54,NNW,30 16,41 22,1011.2,0.2,2023-11-13
10:00 pm,13.5,5.8,51,NW,33 18,54 29,1010.7,0.2,2023-11-13
9:55 pm,13.4,6.7,52,WNW,28 15,54 29,1010.7,0.2,2023-11-13
9:30 pm,13.4,7.5,52,NW,24 13,37 20,1010.7,0.2,2023-11-13
9:00 pm,13.7,5.4,52,NW,37 20,57 31,1010.1,0.2,2023-11-13
8:30 pm,13.9,6.0,52,NW,35 19,54 29,1010.0,0.2,2023-11-13
8:00 pm,14.6,6.6,49,NW,35 19,61 33,1009.9,0.2,2023-11-13
7:32 pm,15.3,7.7,46,NW,33 18,54 29,1009.5,0.2,2023-11-13
7:30 pm,15.4,7.7,45,NW,33 18,48 26,1009.6,0.2,2023-11-13
7:08 pm,16.2,8.7,42,NW,32 17,54 29,1009.3,0.2,2023-11-13
