Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 am,19.2,19.6,84,SW,9 5,13 7,1010.3,0.0,2025-01-12
3:30 am,18.4,20.5,87,CALM,0 0,4 2,1010.0,0.0,2025-01-12
3:00 am,19.1,20.2,86,SSW,6 3,9 5,1009.8,0.0,2025-01-12
2:30 am,18.8,20.8,89,SSW,2 1,7 4,1009.8,0.0,2025-01-12
2:00 am,18.8,20.4,88,SSW,4 2,7 4,1010.0,0.0,2025-01-12
1:30 am,19.1,21.4,86,CALM,0 0,0 0,1010.3,0.0,2025-01-12
1:00 am,19.4,20.5,84,SSW,6 3,9 5,1010.7,0.0,2025-01-12
12:30 am,19.5,20.4,83,SSW,7 4,11 6,1010.6,0.0,2025-01-12
12:00 am,19.9,20.3,80,S,9 5,15 8,1010.7,0.0,2025-01-12
