Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.2,9.5,62,WNW,15 8,–,1021.1,0.0,2023-05-29
11:00 pm,13.7,9.5,59,W,17 9,–,1021.0,0.0,2023-05-29
10:30 pm,13.8,9.6,58,W,17 9,–,1020.9,0.0,2023-05-29
10:00 pm,14.2,10.4,56,WNW,15 8,–,1020.8,0.0,2023-05-29
9:30 pm,13.6,10.8,56,WNW,9 5,–,1020.6,0.0,2023-05-29
9:00 pm,13.7,10.4,55,WNW,11 6,–,1020.2,0.0,2023-05-29
8:30 pm,13.8,10.5,54,WNW,11 6,–,1020.2,0.0,2023-05-29
8:00 pm,13.7,10.5,56,W,11 6,–,1020.1,0.0,2023-05-29
7:30 pm,14.8,11.8,55,WNW,11 6,–,1019.1,0.0,2023-05-29
7:00 pm,15.1,11.5,51,WNW,13 7,–,1018.7,0.0,2023-05-29
6:30 pm,15.7,9.6,49,W,26 14,–,1018.6,0.0,2023-05-29
6:00 pm,16.4,11.4,45,WSW,20 11,–,1018.4,0.0,2023-05-29
5:30 pm,16.8,11.8,44,WSW,20 11,–,1017.7,0.0,2023-05-29
5:00 pm,17.3,12.5,43,WSW,19 10,–,1017.2,0.0,2023-05-29
4:30 pm,17.9,11.5,43,W,28 15,–,1016.6,0.0,2023-05-29
4:00 pm,18.6,13.0,42,W,24 13,–,1016.2,0.0,2023-05-29
3:30 pm,19.7,13.7,39,WSW,26 14,–,1015.8,0.0,2023-05-29
3:00 pm,20.3,13.7,39,WSW,30 16,–,1015.5,0.0,2023-05-29
2:30 pm,20.6,15.2,39,W,24 13,–,1015.3,0.0,2023-05-29
2:00 pm,21.0,16.4,39,W,20 11,–,1015.2,0.0,2023-05-29
1:30 pm,20.9,16.8,43,WNW,19 10,–,1015.2,0.0,2023-05-29
1:00 pm,20.2,16.8,44,WNW,15 8,–,1015.4,0.0,2023-05-29
12:30 pm,20.2,16.6,47,WNW,17 9,–,1015.6,0.0,2023-05-29
12:00 pm,19.4,15.9,50,WNW,17 9,–,1015.8,0.0,2023-05-29
11:30 am,18.6,14.5,49,WNW,19 10,–,1016.3,0.0,2023-05-29
11:00 am,18.2,16.6,52,WNW,6 3,–,1016.5,0.0,2023-05-29
10:30 am,16.6,14.6,59,W,9 5,–,1016.8,0.0,2023-05-29
10:00 am,15.7,13.3,63,WNW,11 6,–,1017.1,0.0,2023-05-29
9:30 am,14.4,11.9,67,W,11 6,–,1017.2,0.0,2023-05-29
9:00 am,12.9,9.9,70,W,13 7,–,1016.9,0.0,2023-05-29
8:30 am,12.0,8.9,73,W,13 7,–,1016.4,0.0,2023-05-29
8:00 am,11.6,9.5,72,W,7 4,–,1016.4,0.0,2023-05-29
7:30 am,11.3,9.2,73,NW,7 4,–,1016.2,0.0,2023-05-29
7:00 am,10.6,9.1,76,WNW,4 2,–,1016.0,0.0,2023-05-29
6:30 am,10.6,8.7,76,NW,6 3,–,1015.9,0.0,2023-05-29
