Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,19.5,17.8,49,N,7 4,13 7,1014.0,0.0,2025-05-06
11:00 pm,20.3,18.2,46,N,9 5,17 9,1014.3,0.0,2025-05-06
10:30 pm,20.5,18.0,45,N,11 6,19 10,1014.3,0.0,2025-05-06
10:00 pm,20.6,18.1,45,N,11 6,15 8,1014.3,0.0,2025-05-06
9:30 pm,21.1,19.4,44,NNE,7 4,11 6,1014.1,0.0,2025-05-06
9:00 pm,21.7,18.9,43,N,13 7,20 11,1014.1,0.0,2025-05-06
8:30 pm,22.0,19.6,42,N,11 6,19 10,1014.0,0.0,2025-05-06
8:00 pm,22.0,20.4,41,NW,6 3,11 6,1014.1,0.0,2025-05-06
7:30 pm,21.7,20.1,41,NW,6 3,13 7,1014.0,0.0,2025-05-06
7:00 pm,22.8,21.5,38,NNE,4 2,11 6,1013.9,0.0,2025-05-06
6:30 pm,22.3,20.5,38,WNW,6 3,15 8,1013.7,0.0,2025-05-06
6:00 pm,23.1,21.2,37,NW,7 4,19 10,1013.3,0.0,2025-05-06
5:30 pm,24.1,21.8,34,NW,9 5,15 8,1013.1,0.0,2025-05-06
5:00 pm,24.5,21.0,33,NNW,15 8,28 15,1013.1,0.0,2025-05-06
4:30 pm,25.2,20.9,31,NNW,19 10,39 21,1013.0,0.0,2025-05-06
4:00 pm,25.5,21.3,32,NNW,19 10,39 21,1012.9,0.0,2025-05-06
3:30 pm,26.0,22.1,30,NW,17 9,22 12,1012.9,0.0,2025-05-06
3:00 pm,25.8,20.3,31,NNW,26 14,43 23,1013.0,0.0,2025-05-06
2:30 pm,26.3,22.8,30,NW,15 8,28 15,1013.2,0.0,2025-05-06
2:00 pm,26.1,21.3,30,NNW,22 12,35 19,1013.3,0.0,2025-05-06
1:30 pm,26.0,20.8,30,NNW,24 13,46 25,1013.5,0.0,2025-05-06
1:00 pm,26.3,22.0,31,NNW,20 11,44 24,1014.0,0.0,2025-05-06
12:30 pm,25.4,21.9,35,NNW,17 9,30 16,1014.6,0.0,2025-05-06
12:00 pm,24.5,20.6,36,NNW,19 10,30 16,1015.1,0.0,2025-05-06
11:30 am,23.8,19.8,39,NNW,20 11,32 17,1015.6,0.0,2025-05-06
11:00 am,22.7,19.1,40,N,17 9,32 17,1016.0,0.0,2025-05-06
10:30 am,22.1,18.5,41,N,17 9,30 16,1016.3,0.0,2025-05-06
10:00 am,21.1,17.9,44,NNW,15 8,26 14,1016.7,0.0,2025-05-06
9:30 am,20.3,17.1,46,NNW,15 8,28 15,1016.9,0.0,2025-05-06
9:00 am,19.2,14.6,49,N,22 12,35 19,1016.7,0.0,2025-05-06
8:30 am,18.5,15.2,50,N,15 8,26 14,1016.8,0.0,2025-05-06
8:00 am,17.6,14.6,52,NNE,13 7,30 16,1016.7,0.0,2025-05-06
7:30 am,17.7,15.0,51,NE,11 6,15 8,1016.6,0.0,2025-05-06
7:00 am,18.2,15.1,49,N,13 7,22 12,1016.4,0.0,2025-05-06
6:30 am,18.4,14.6,49,N,17 9,26 14,1016.3,0.0,2025-05-06
6:00 am,18.6,15.1,48,N,15 8,24 13,1016.2,0.0,2025-05-06
5:30 am,18.5,15.1,49,N,15 8,24 13,1016.4,0.0,2025-05-06
5:00 am,18.8,15.0,48,N,17 9,26 14,1016.3,0.0,2025-05-06
4:30 am,19.0,14.8,47,N,19 10,28 15,1016.1,0.0,2025-05-06
4:00 am,19.1,14.9,47,N,19 10,28 15,1016.0,0.0,2025-05-06
3:30 am,19.3,15.5,46,N,17 9,26 14,1016.2,0.0,2025-05-06
3:00 am,19.1,15.7,47,N,15 8,22 12,1016.2,0.0,2025-05-06
2:30 am,19.1,15.7,48,N,15 8,20 11,1016.3,0.0,2025-05-06
2:00 am,19.0,15.7,49,N,15 8,26 14,1016.5,0.0,2025-05-06
1:30 am,19.0,16.0,48,N,13 7,20 11,1016.7,0.0,2025-05-06
1:00 am,19.5,15.8,47,N,17 9,32 17,1017.0,0.0,2025-05-06
12:30 am,19.9,15.8,46,N,19 10,30 16,1016.9,0.0,2025-05-06
12:00 am,19.8,16.1,46,N,17 9,30 16,1017.1,0.0,2025-05-06
