Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,17.8,15.8,78,SW,17 9,30 16,1011.2,34.8,2024-01-26
6:00 am,17.8,16.2,78,SW,15 8,20 11,1010.8,34.8,2024-01-26
5:30 am,17.8,16.3,85,WSW,17 9,33 18,1010.5,34.8,2024-01-26
5:00 am,17.7,16.9,84,WSW,13 7,19 10,1010.5,34.8,2024-01-26
4:30 am,17.6,17.1,85,WSW,11 6,17 9,1010.4,34.8,2024-01-26
4:00 am,17.3,16.8,86,SW,11 6,17 9,1010.2,34.8,2024-01-26
3:48 am,17.4,16.8,84,SW,11 6,24 13,1010.1,34.8,2024-01-26
3:33 am,17.5,16.8,87,SW,13 7,20 11,1010.3,34.8,2024-01-26
3:30 am,17.5,17.1,86,SW,11 6,20 11,1010.3,34.8,2024-01-26
3:00 am,17.4,17.0,87,WSW,11 6,19 10,1010.5,34.8,2024-01-26
2:55 am,17.3,16.5,87,SW,13 7,20 11,1010.5,34.8,2024-01-26
2:30 am,17.0,16.5,87,WSW,11 6,17 9,1010.3,34.8,2024-01-26
2:00 am,16.8,16.6,87,WSW,9 5,17 9,1010.7,34.8,2024-01-26
1:30 am,16.7,16.1,87,WSW,11 6,17 9,1011.0,34.8,2024-01-26
1:00 am,16.8,16.7,89,W,9 5,15 8,1011.0,34.8,2024-01-26
12:30 am,15.8,17.1,90,CALM,0 0,0 0,1010.9,34.8,2024-01-26
12:00 am,16.0,16.7,85,SW,2 1,7 4,1011.0,34.8,2024-01-26
