Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 am,10.0,8.9,100,NNE,6 3,7 4,1024.1,0.0,2025-08-23
5:00 am,10.0,8.9,99,NNE,6 3,9 5,1023.8,0.0,2025-08-23
4:30 am,9.9,8.6,99,NE,7 4,11 6,1023.5,0.0,2025-08-23
4:20 am,9.9,8.7,98,NE,6 3,7 4,1023.4,0.0,2025-08-23
4:15 am,9.6,8.3,98,NE,6 3,9 5,1023.4,0.0,2025-08-23
4:04 am,8.5,7.6,94,NNE,2 1,7 4,1023.3,0.0,2025-08-23
4:00 am,8.9,8.4,94,CALM,0 0,0 0,1023.2,0.0,2025-08-23
3:30 am,10.4,9.3,96,NE,6 3,9 5,1023.0,0.0,2025-08-23
3:14 am,10.4,9.1,97,NNE,7 4,9 5,1023.0,0.0,2025-08-23
3:00 am,10.2,9.1,99,NNE,6 3,11 6,1022.9,0.0,2025-08-23
2:53 am,9.3,9.1,98,CALM,0 0,0 0,1022.8,0.0,2025-08-23
2:30 am,9.6,9.5,98,CALM,0 0,0 0,1023.0,0.0,2025-08-23
2:04 am,9.5,9.3,98,CALM,0 0,0 0,1023.2,0.0,2025-08-23
2:00 am,9.5,9.3,98,CALM,0 0,0 0,1023.2,0.0,2025-08-23
1:53 am,9.3,9.1,98,CALM,0 0,0 0,1023.3,0.0,2025-08-23
1:39 am,9.1,8.8,97,CALM,0 0,0 0,1023.3,0.0,2025-08-23
1:30 am,9.4,9.2,98,CALM,0 0,0 0,1023.3,0.0,2025-08-23
1:00 am,10.2,9.8,97,SE,2 1,6 3,1023.2,0.0,2025-08-23
12:30 am,10.3,9.2,97,SSE,6 3,7 4,1023.0,0.0,2025-08-23
12:00 am,10.6,10.4,98,SSE,2 1,7 4,1022.9,0.0,2025-08-23
