Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,9.3,1.5,60,NW,32 17,52 28,991.8,3.2,2025-09-19
11:00 pm,9.9,1.6,59,NW,35 19,54 29,991.6,3.2,2025-09-19
10:30 pm,10.7,3.5,58,NW,30 16,50 27,991.9,3.2,2025-09-19
10:00 pm,10.8,1.1,59,NW,43 23,67 36,991.9,3.2,2025-09-19
9:30 pm,10.7,2.1,67,NW,39 21,63 34,992.0,3.2,2025-09-19
9:27 pm,10.7,2.5,68,NW,37 20,63 34,992.1,3.2,2025-09-19
9:20 pm,10.6,1.4,71,NW,43 23,76 41,992.4,3.2,2025-09-19
9:12 pm,11.5,2.0,63,NW,44 24,78 42,992.4,3.0,2025-09-19
9:11 pm,11.9,2.5,61,NW,43 23,78 42,992.3,2.8,2025-09-19
9:10 pm,12.9,3.9,56,NW,41 22,78 42,992.2,2.8,2025-09-19
9:00 pm,13.9,5.8,48,NNW,35 19,57 31,991.4,2.6,2025-09-19
8:31 pm,13.7,5.6,49,NNW,35 19,56 30,991.4,2.6,2025-09-19
8:30 pm,13.8,5.7,49,NNW,35 19,48 26,991.4,2.6,2025-09-19
8:00 pm,14.3,7.5,46,NNW,28 15,41 22,992.0,2.6,2025-09-19
7:30 pm,14.7,6.5,44,NNW,35 19,61 33,992.7,2.6,2025-09-19
7:23 pm,14.5,6.8,47,NNW,33 18,54 29,993.0,2.6,2025-09-19
7:00 pm,14.5,9.5,52,NNW,20 11,43 23,993.3,2.6,2025-09-19
6:30 pm,14.0,10.9,56,N,11 6,17 9,993.7,2.6,2025-09-19
