Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 pm,19.8,19.4,90,NW,17 9,33 18,1014.2,1.8,2024-06-06
3:30 pm,22.7,21.6,67,NNW,17 9,33 18,1014.0,0.0,2024-06-06
3:00 pm,24.0,22.3,56,NNW,17 9,35 19,1013.8,0.0,2024-06-06
2:30 pm,24.3,23.0,55,NNW,15 8,24 13,1014.1,0.0,2024-06-06
2:00 pm,24.7,22.9,49,NNW,15 8,32 17,1014.0,0.0,2024-06-06
1:30 pm,24.9,23.3,50,NNW,15 8,39 21,1014.7,0.0,2024-06-06
1:00 pm,23.8,21.0,55,NNW,22 12,39 21,1015.2,0.0,2024-06-06
12:30 pm,23.9,20.8,51,NNW,22 12,54 29,1016.0,0.0,2024-06-06
12:00 pm,23.9,20.7,47,N,20 11,35 19,1016.7,0.0,2024-06-06
11:30 am,23.7,20.5,45,N,19 10,35 19,1017.3,0.0,2024-06-06
11:00 am,23.4,21.3,46,N,13 7,32 17,1017.5,0.0,2024-06-06
10:30 am,22.0,18.8,46,N,17 9,35 19,1018.1,0.0,2024-06-06
10:00 am,21.1,17.8,48,N,17 9,28 15,1018.5,0.0,2024-06-06
9:30 am,20.4,17.6,51,N,15 8,32 17,1018.5,0.0,2024-06-06
9:00 am,18.7,15.8,55,N,15 8,22 12,1018.6,0.0,2024-06-06
8:30 am,17.1,15.2,59,NNE,9 5,20 11,1018.7,0.0,2024-06-06
8:00 am,16.7,14.6,58,NNE,9 5,15 8,1018.6,0.0,2024-06-06
7:30 am,16.5,14.3,57,NNE,9 5,13 7,1018.4,0.0,2024-06-06
7:00 am,16.2,13.9,56,N,9 5,17 9,1018.5,0.0,2024-06-06
6:30 am,15.8,13.5,57,N,9 5,19 10,1018.3,0.0,2024-06-06
6:00 am,14.8,12.4,60,NNE,9 5,15 8,1018.2,0.0,2024-06-06
5:30 am,14.8,12.0,60,NNE,11 6,19 10,1018.0,0.0,2024-06-06
5:00 am,15.0,12.0,62,NNE,13 7,19 10,1017.9,0.0,2024-06-06
4:30 am,14.4,12.3,66,N,9 5,15 8,1018.3,0.0,2024-06-06
4:00 am,13.8,12.3,70,N,6 3,9 5,1018.6,0.0,2024-06-06
3:30 am,13.8,12.8,72,N,4 2,7 4,1018.8,0.0,2024-06-06
3:00 am,13.2,11.9,76,N,6 3,11 6,1018.8,0.0,2024-06-06
2:30 am,13.0,11.6,76,N,6 3,9 5,1019.4,0.0,2024-06-06
2:00 am,12.6,11.2,78,N,6 3,9 5,1020.0,0.0,2024-06-06
1:30 am,11.8,10.6,85,N,6 3,9 5,1020.3,0.0,2024-06-06
1:00 am,11.6,10.7,86,N,4 2,9 5,1020.6,0.0,2024-06-06
12:30 am,12.4,11.1,84,N,7 4,9 5,1020.8,0.0,2024-06-06
12:00 am,12.6,11.3,85,N,7 4,9 5,1021.0,0.0,2024-06-06
