Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.3,11.5,92,N,6 3,9 5,1020.9,1.4,2024-07-08
11:00 pm,12.6,11.6,90,N,7 4,11 6,1020.8,1.4,2024-07-08
10:53 pm,12.7,11.7,89,N,7 4,11 6,1020.8,1.4,2024-07-08
10:30 pm,12.7,11.9,90,N,6 3,9 5,1020.7,1.4,2024-07-08
10:00 pm,12.8,12.8,89,N,2 1,6 3,1020.4,1.4,2024-07-08
9:30 pm,12.7,12.2,89,NNW,4 2,7 4,1020.4,1.4,2024-07-08
9:00 pm,12.6,12.5,89,NW,2 1,7 4,1020.2,1.4,2024-07-08
8:30 pm,12.6,12.8,87,CALM,0 0,2 1,1019.9,1.4,2024-07-08
8:00 pm,12.7,12.5,86,NW,2 1,6 3,1019.7,1.4,2024-07-08
7:30 pm,13.0,11.5,85,NW,9 5,13 7,1019.3,1.4,2024-07-08
7:00 pm,13.1,12.1,87,WNW,7 4,11 6,1019.2,1.4,2024-07-08
6:30 pm,13.0,12.1,85,WNW,6 3,11 6,1018.7,1.4,2024-07-08
6:00 pm,13.1,12.0,85,WNW,7 4,11 6,1018.5,1.4,2024-07-08
