Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,30.5,26.8,19,NE,13 7,19 10,1014.1,0.0,2023-02-22
11:00 pm,30.8,26.7,19,NE,15 8,20 11,1014.5,0.0,2023-02-22
10:30 pm,31.8,27.0,18,ENE,19 10,28 15,1014.6,0.0,2023-02-22
10:00 pm,31.3,28.8,21,ENE,9 5,15 8,1014.7,0.0,2023-02-22
9:30 pm,31.5,29.0,21,E,9 5,17 9,1014.7,0.0,2023-02-22
9:00 pm,32.3,28.9,19,E,13 7,22 12,1014.5,0.0,2023-02-22
8:30 pm,32.8,28.9,18,ESE,15 8,20 11,1014.6,0.0,2023-02-22
8:00 pm,33.4,29.8,17,ESE,13 7,20 11,1014.5,0.0,2023-02-22
7:30 pm,34.5,31.1,17,ESE,13 7,24 13,1014.3,0.0,2023-02-22
7:00 pm,35.3,30.7,16,SE,19 10,32 17,1014.1,0.0,2023-02-22
