Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 pm,21.5,19.8,56,WSW,13 7,20 11,1003.0,1.6,2023-04-06
5:00 pm,23.8,22.0,40,W,9 5,19 10,1003.1,1.6,2023-04-06
4:30 pm,22.2,23.6,66,N,2 1,6 3,1003.1,1.6,2023-04-06
4:19 pm,20.9,21.7,73,N,6 3,9 5,1003.3,1.6,2023-04-06
4:00 pm,21.4,20.3,64,W,13 7,20 11,1003.5,1.4,2023-04-06
3:30 pm,23.1,22.1,59,WNW,13 7,19 10,1003.3,0.0,2023-04-06
3:00 pm,23.7,23.0,56,WNW,11 6,20 11,1003.4,0.0,2023-04-06
2:30 pm,24.3,24.6,60,WNW,9 5,13 7,1003.7,0.0,2023-04-06
2:00 pm,23.1,22.7,61,NW,11 6,19 10,1004.0,0.0,2023-04-06
1:30 pm,24.3,24.4,58,NW,9 5,17 9,1004.5,0.0,2023-04-06
1:00 pm,22.8,22.9,63,NW,9 5,15 8,1005.1,0.0,2023-04-06
12:30 pm,22.2,22.4,67,NNW,9 5,13 7,1005.6,0.0,2023-04-06
12:00 pm,22.4,20.7,58,NW,15 8,20 11,1006.1,0.0,2023-04-06
11:30 am,23.3,20.8,50,NNW,17 9,24 13,1006.3,0.0,2023-04-06
11:00 am,22.4,19.7,51,NNW,17 9,28 15,1006.7,0.0,2023-04-06
10:30 am,21.3,20.6,55,NNE,7 4,13 7,1006.6,0.0,2023-04-06
10:00 am,20.6,19.6,59,NNE,9 5,15 8,1007.4,0.0,2023-04-06
9:30 am,19.7,18.7,62,NE,9 5,13 7,1007.8,0.0,2023-04-06
9:00 am,19.1,17.0,60,ENE,13 7,20 11,1007.7,0.8,2023-04-06
8:30 am,18.8,16.6,60,NE,13 7,17 9,1007.9,0.8,2023-04-06
8:00 am,18.2,16.4,57,ENE,9 5,17 9,1007.8,0.8,2023-04-06
7:30 am,17.1,15.2,65,WNW,11 6,20 11,1008.1,0.6,2023-04-06
7:00 am,19.0,16.3,42,NE,9 5,11 6,1007.2,0.0,2023-04-06
6:30 am,18.6,15.9,42,NE,9 5,13 7,1007.1,0.0,2023-04-06
6:00 am,18.0,15.6,43,NE,7 4,11 6,1007.3,0.0,2023-04-06
5:30 am,20.1,17.0,34,NE,9 5,15 8,1007.3,0.0,2023-04-06
5:00 am,20.3,16.8,33,NE,11 6,15 8,1007.4,0.0,2023-04-06
4:30 am,20.7,17.1,31,NE,11 6,15 8,1007.4,0.0,2023-04-06
4:00 am,20.8,16.8,30,NE,13 7,17 9,1007.6,0.0,2023-04-06
3:30 am,20.1,17.3,33,NE,7 4,13 7,1007.7,0.0,2023-04-06
3:00 am,20.1,17.5,35,N,7 4,9 5,1007.7,0.0,2023-04-06
2:30 am,21.7,17.1,31,NE,17 9,26 14,1008.2,0.0,2023-04-06
2:00 am,22.8,18.4,27,NE,15 8,24 13,1007.9,0.0,2023-04-06
1:30 am,22.8,19.1,26,NE,11 6,20 11,1008.0,0.0,2023-04-06
1:00 am,22.2,18.8,30,ENE,11 6,15 8,1008.4,0.0,2023-04-06
12:30 am,22.1,19.1,31,NE,9 5,17 9,1008.5,0.0,2023-04-06
12:00 am,22.2,19.0,29,NE,9 5,17 9,1008.8,0.0,2023-04-06
