Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,10.8,7.3,69,NW,13 7,19 10,998.8,0.0,2023-03-08
11:00 pm,11.3,6.5,64,NW,19 10,33 18,998.3,0.0,2023-03-08
10:30 pm,11.4,6.5,65,NW,20 11,32 17,998.0,0.0,2023-03-08
10:00 pm,11.8,5.2,60,NNW,28 15,43 23,997.7,0.0,2023-03-08
9:30 pm,12.1,7.0,58,NNW,20 11,30 16,997.4,0.0,2023-03-08
9:00 pm,12.1,7.5,57,NNW,17 9,28 15,997.0,0.0,2023-03-08
8:30 pm,12.2,7.2,56,NW,19 10,32 17,996.4,0.0,2023-03-08
8:00 pm,12.2,7.1,57,WNW,20 11,32 17,995.8,0.0,2023-03-08
7:52 pm,12.9,6.1,52,NW,28 15,72 39,995.6,0.0,2023-03-08
7:50 pm,12.9,6.1,52,NW,28 15,72 39,995.4,0.0,2023-03-08
7:30 pm,12.6,7.4,54,NW,20 11,33 18,995.4,0.0,2023-03-08
