Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,15.2,14.8,83,SSE,6 3,7 4,1014.8,0.0,2025-04-03
6:00 am,15.3,14.8,82,S,6 3,9 5,1014.5,0.0,2025-04-03
5:30 am,15.4,16.1,82,CALM,0 0,0 0,1014.3,0.0,2025-04-03
5:00 am,15.3,14.8,81,S,6 3,9 5,1014.0,0.0,2025-04-03
4:30 am,15.7,15.6,79,SSE,4 2,7 4,1013.9,0.0,2025-04-03
4:00 am,15.7,15.3,80,SE,6 3,9 5,1013.7,0.0,2025-04-03
3:30 am,15.2,15.1,81,SSE,4 2,7 4,1013.8,0.0,2025-04-03
3:00 am,15.2,14.5,78,SE,6 3,7 4,1013.9,0.0,2025-04-03
2:30 am,15.5,14.9,78,SE,6 3,7 4,1014.0,0.0,2025-04-03
2:00 am,14.2,14.2,81,SSE,2 1,6 3,1014.0,0.0,2025-04-03
1:30 am,14.3,14.5,79,CALM,0 0,0 0,1014.1,0.0,2025-04-03
1:00 am,14.8,14.3,77,S,4 2,7 4,1014.0,0.0,2025-04-03
12:39 am,14.8,13.9,77,SSW,6 3,7 4,1014.0,0.0,2025-04-03
12:30 am,14.6,13.7,77,SSW,6 3,7 4,1014.0,0.0,2025-04-03
12:21 am,14.7,14.1,76,S,4 2,7 4,1014.0,0.0,2025-04-03
12:00 am,15.6,14.7,73,SSE,6 3,9 5,1013.9,0.0,2025-04-03
