Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,28.2,24.4,27,ENE,17 9,26 14,1009.8,0.0,2023-03-17
11:00 pm,27.7,23.7,29,NE,19 10,28 15,1010.4,0.0,2023-03-17
10:30 pm,27.2,24.7,30,NE,11 6,17 9,1011.0,0.0,2023-03-17
10:00 pm,25.6,24.0,34,ENE,7 4,9 5,1011.5,0.0,2023-03-17
9:30 pm,24.0,23.7,38,CALM,0 0,0 0,1011.4,0.0,2023-03-17
9:00 pm,24.7,24.3,35,CALM,0 0,0 0,1011.0,0.0,2023-03-17
8:30 pm,26.6,24.7,30,ESE,7 4,9 5,1010.6,0.0,2023-03-17
8:00 pm,28.2,27.5,29,ENE,2 1,9 5,1010.7,0.0,2023-03-17
7:30 pm,29.8,28.2,26,ENE,6 3,9 5,1010.6,0.0,2023-03-17
7:00 pm,31.8,29.7,21,ENE,7 4,11 6,1010.6,0.0,2023-03-17
