Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,6.9,4.2,90,NW,9 5,13 7,1017.6,0.0,2025-07-06
11:00 pm,6.9,5.5,90,SSW,2 1,9 5,1017.8,0.0,2025-07-06
10:30 pm,7.4,6.0,87,ESE,2 1,7 4,1017.9,0.0,2025-07-06
10:00 pm,8.3,5.9,82,NNW,7 4,13 7,1017.8,0.0,2025-07-06
9:30 pm,8.3,5.9,82,NNW,7 4,9 5,1018.1,0.0,2025-07-06
9:00 pm,8.5,5.8,83,WNW,9 5,11 6,1018.1,0.0,2025-07-06
8:30 pm,9.0,5.5,78,NNW,13 7,17 9,1018.1,0.0,2025-07-06
8:00 pm,9.9,7.3,76,N,9 5,15 8,1018.1,0.0,2025-07-06
7:30 pm,10.3,8.0,74,WNW,7 4,9 5,1018.2,0.0,2025-07-06
7:00 pm,10.3,8.3,75,WNW,6 3,9 5,1018.1,0.0,2025-07-06
6:30 pm,10.4,7.8,75,NE,9 5,13 7,1017.9,0.0,2025-07-06
6:00 pm,11.0,8.0,72,NW,11 6,13 7,1017.5,0.0,2025-07-06
5:30 pm,10.5,8.4,76,SW,7 4,7 4,1017.5,0.0,2025-07-06
5:00 pm,10.7,9.3,70,NE,2 1,6 3,1017.4,0.0,2025-07-06
4:30 pm,11.3,9.0,69,NNW,7 4,11 6,1017.3,0.0,2025-07-06
4:00 pm,11.7,10.6,65,CALM,0 0,7 4,1017.3,0.0,2025-07-06
3:30 pm,11.4,10.3,65,CALM,0 0,6 3,1017.2,0.0,2025-07-06
3:00 pm,11.9,10.2,67,ENE,4 2,7 4,1017.0,0.0,2025-07-06
2:30 pm,12.1,11.1,64,CALM,0 0,0 0,1017.0,0.0,2025-07-06
2:00 pm,12.2,11.3,66,CALM,0 0,0 0,1017.1,0.0,2025-07-06
1:30 pm,11.3,9.5,67,SE,4 2,7 4,1017.2,0.0,2025-07-06
1:00 pm,11.3,8.4,64,NE,9 5,13 7,1017.4,0.0,2025-07-06
12:30 pm,11.1,8.8,65,N,6 3,9 5,1017.7,0.0,2025-07-06
12:00 pm,9.9,6.6,68,N,11 6,15 8,1018.1,0.0,2025-07-06
11:30 am,8.9,4.7,71,N,15 8,20 11,1018.4,0.0,2025-07-06
11:00 am,8.9,5.1,72,N,13 7,17 9,1018.6,0.0,2025-07-06
10:30 am,8.3,4.9,75,N,11 6,15 8,1018.8,0.0,2025-07-06
10:00 am,7.1,2.9,79,N,15 8,19 10,1019.1,0.0,2025-07-06
9:30 am,6.6,3.2,82,NNW,11 6,15 8,1019.1,0.0,2025-07-06
9:00 am,5.4,1.5,88,NNW,13 7,20 11,1019.3,0.0,2025-07-06
8:30 am,4.5,0.9,88,NW,11 6,15 8,1019.3,0.0,2025-07-06
8:00 am,4.5,0.5,90,NNW,13 7,19 10,1019.3,0.0,2025-07-06
7:30 am,4.2,-0.2,89,NW,15 8,20 11,1019.1,0.0,2025-07-06
7:00 am,4.5,1.3,90,NNW,9 5,17 9,1019.1,0.0,2025-07-06
6:30 am,4.2,0.2,89,NW,13 7,17 9,1018.9,0.0,2025-07-06
6:00 am,4.8,0.8,89,NW,13 7,17 9,1018.8,0.0,2025-07-06
5:30 am,4.9,0.2,90,NNW,17 9,19 10,1018.8,0.0,2025-07-06
5:00 am,4.9,1.7,89,NNW,9 5,13 7,1018.7,0.0,2025-07-06
4:30 am,5.2,1.3,89,NNW,13 7,17 9,1018.6,0.0,2025-07-06
4:00 am,4.9,1.3,89,NNW,11 6,13 7,1018.7,0.0,2025-07-06
3:30 am,4.7,1.9,89,W,7 4,9 5,1018.8,0.0,2025-07-06
3:00 am,5.7,1.9,88,NW,13 7,19 10,1018.8,0.0,2025-07-06
2:30 am,5.3,2.2,88,NW,9 5,13 7,1018.8,0.0,2025-07-06
2:00 am,5.9,4.2,87,WNW,2 1,9 5,1018.8,0.0,2025-07-06
1:30 am,6.5,3.1,85,NNW,11 6,19 10,1018.9,0.0,2025-07-06
1:00 am,6.6,3.2,83,NNW,11 6,17 9,1019.0,0.0,2025-07-06
12:30 am,7.3,3.6,83,N,13 7,20 11,1019.1,0.0,2025-07-06
12:00 am,7.2,3.9,83,NNW,11 6,15 8,1019.2,0.0,2025-07-06
