Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,6.3,3.2,94,ENE,11 6,11 6,1022.8,0.0,2025-07-05
11:00 pm,6.0,3.7,91,SE,6 3,11 6,1023.3,0.0,2025-07-05
10:30 pm,6.1,4.7,95,SW,2 1,9 5,1023.1,0.0,2025-07-05
10:00 pm,6.1,2.7,97,S,13 7,17 9,1022.1,0.0,2025-07-05
9:30 pm,5.4,3.0,99,SE,7 4,9 5,1022.6,0.0,2025-07-05
9:00 pm,5.9,3.2,99,N,9 5,13 7,1023.0,0.0,2025-07-05
8:30 pm,6.3,3.3,97,ESE,11 6,15 8,1022.5,0.0,2025-07-05
8:00 pm,5.9,3.2,97,SSE,9 5,9 5,1023.1,0.0,2025-07-05
7:30 pm,7.2,4.8,98,N,9 5,11 6,1023.0,0.0,2025-07-05
7:00 pm,6.5,4.3,92,E,6 3,9 5,1022.7,0.0,2025-07-05
6:30 pm,6.7,5.3,93,E,2 1,7 4,1022.9,0.0,2025-07-05
6:00 pm,7.4,5.4,92,E,6 3,7 4,1022.8,0.0,2025-07-05
5:30 pm,8.7,5.9,88,N,11 6,13 7,1022.8,0.0,2025-07-05
5:00 pm,8.7,6.7,89,ENE,7 4,9 5,1022.6,0.0,2025-07-05
4:30 pm,9.3,7.8,84,NNW,4 2,9 5,1022.4,0.0,2025-07-05
4:00 pm,9.9,9.1,78,CALM,0 0,0 0,1022.4,0.0,2025-07-05
3:30 pm,10.5,9.7,75,CALM,0 0,0 0,1022.3,0.0,2025-07-05
3:00 pm,10.8,9.5,72,W,2 1,7 4,1022.7,0.0,2025-07-05
2:30 pm,10.8,9.9,73,CALM,0 0,0 0,1022.7,0.0,2025-07-05
2:00 pm,10.7,8.4,72,W,7 4,9 5,1023.0,0.0,2025-07-05
1:30 pm,10.8,9.8,71,CALM,0 0,0 0,1023.0,0.0,2025-07-05
