Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 am,10.9,10.9,92,CALM,0 0,0 0,1028.2,1.0,2024-05-11
5:43 am,11.0,9.9,93,ESE,6 3,7 4,1028.2,1.0,2024-05-11
5:30 am,11.0,9.8,91,ESE,6 3,9 5,1028.1,1.0,2024-05-11
5:00 am,11.4,9.4,91,SE,11 6,15 8,1028.1,1.0,2024-05-11
4:30 am,11.3,9.3,92,S,11 6,15 8,1027.8,1.0,2024-05-11
4:00 am,11.2,10.2,94,SE,6 3,9 5,1028.1,1.0,2024-05-11
3:30 am,11.3,10.1,93,SE,7 4,11 6,1028.3,1.0,2024-05-11
3:00 am,11.6,9.6,92,SE,11 6,17 9,1028.6,1.0,2024-05-11
2:46 am,11.3,9.7,93,SSE,9 5,13 7,1028.8,1.0,2024-05-11
2:30 am,11.1,9.1,93,SSE,11 6,11 6,1028.9,1.0,2024-05-11
2:00 am,11.2,9.5,91,ESE,9 5,11 6,1029.1,1.0,2024-05-11
1:30 am,11.0,10.9,91,CALM,0 0,6 3,1029.3,1.0,2024-05-11
1:00 am,10.9,9.7,92,ESE,6 3,7 4,1029.3,1.0,2024-05-11
12:30 am,10.7,9.4,94,SE,7 4,9 5,1029.6,1.0,2024-05-11
12:13 am,10.7,8.6,94,SSE,11 6,17 9,1029.6,1.0,2024-05-11
12:00 am,10.6,8.6,96,SE,11 6,15 8,1029.6,1.0,2024-05-11
