Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.1,13.2,82,CALM,0 0,0 0,1019.4,0.0,2023-07-13
11:00 pm,13.7,12.1,80,SSW,9 5,15 8,1019.6,0.0,2023-07-13
10:30 pm,14.2,11.0,76,SW,17 9,30 16,1019.5,0.0,2023-07-13
10:00 pm,14.7,12.2,66,SW,11 6,15 8,1019.1,0.0,2023-07-13
9:30 pm,14.2,12.0,66,WSW,9 5,11 6,1018.9,0.0,2023-07-13
9:00 pm,14.4,12.7,67,WSW,7 4,13 7,1018.8,0.0,2023-07-13
8:30 pm,15.0,12.1,64,SW,13 7,19 10,1019.1,0.0,2023-07-13
8:00 pm,15.2,12.3,63,WSW,13 7,22 12,1018.6,0.0,2023-07-13
7:30 pm,15.6,12.8,56,WSW,11 6,19 10,1018.6,0.0,2023-07-13
7:00 pm,16.1,13.1,57,WSW,13 7,26 14,1018.3,0.0,2023-07-13
6:30 pm,16.4,13.5,58,WSW,13 7,20 11,1018.0,0.0,2023-07-13
6:00 pm,16.6,14.2,60,WSW,11 6,20 11,1017.7,0.0,2023-07-13
5:30 pm,16.7,14.2,63,WSW,13 7,20 11,1017.5,0.0,2023-07-13
5:00 pm,16.8,14.5,66,SW,13 7,22 12,1017.4,0.0,2023-07-13
4:30 pm,17.2,15.2,63,SW,11 6,20 11,1017.3,0.0,2023-07-13
