Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,12.9,11.0,78,NE,9 5,13 7,1011.8,0.2,2024-11-07
6:00 am,13.1,11.5,74,NE,7 4,11 6,1011.2,0.2,2024-11-07
5:30 am,13.1,10.9,71,NE,9 5,11 6,1011.0,0.2,2024-11-07
5:00 am,12.8,11.2,77,NE,7 4,11 6,1011.0,0.2,2024-11-07
4:30 am,11.9,11.7,82,CALM,0 0,0 0,1011.3,0.2,2024-11-07
4:00 am,13.2,12.0,78,NE,6 3,7 4,1011.4,0.2,2024-11-07
3:30 am,12.6,12.1,80,NE,2 1,7 4,1011.6,0.2,2024-11-07
3:00 am,12.1,12.0,84,CALM,0 0,0 0,1011.9,0.2,2024-11-07
2:30 am,12.8,12.7,81,CALM,0 0,2 1,1012.3,0.2,2024-11-07
2:00 am,13.1,13.0,79,CALM,0 0,0 0,1012.7,0.2,2024-11-07
1:30 am,13.7,13.2,75,S,2 1,7 4,1013.0,0.2,2024-11-07
1:00 am,14.1,12.9,75,S,6 3,9 5,1013.3,0.2,2024-11-07
12:30 am,14.8,13.6,74,SSW,7 4,11 6,1013.6,0.2,2024-11-07
12:00 am,14.9,13.9,77,SW,7 4,11 6,1013.9,0.2,2024-11-07
