Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 am,20.9,20.5,75,SSW,13 7,20 11,1007.0,0.0,2024-12-24
3:30 am,21.1,20.9,76,S,13 7,22 12,1006.4,0.0,2024-12-24
3:00 am,21.4,20.9,75,S,15 8,28 15,1006.5,0.0,2024-12-24
2:30 am,21.9,22.1,77,SSW,13 7,22 12,1006.3,0.0,2024-12-24
2:00 am,22.1,22.5,78,SSW,13 7,20 11,1005.9,0.0,2024-12-24
1:30 am,22.2,22.7,79,SSW,13 7,22 12,1005.9,0.0,2024-12-24
1:00 am,22.4,23.4,79,SSW,11 6,20 11,1006.0,0.0,2024-12-24
12:30 am,22.7,23.3,77,SSW,13 7,22 12,1006.2,0.0,2024-12-24
12:00 am,23.2,24.4,74,SSW,9 5,19 10,1006.6,0.0,2024-12-24
