Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 pm,13.2,10.3,72,SW,13 7,20 11,1025.4,0.0,2025-08-06
5:00 pm,13.4,10.9,70,SW,11 6,19 10,1025.1,0.0,2025-08-06
4:30 pm,14.1,11.2,67,SW,13 7,22 12,1024.9,0.0,2025-08-06
4:00 pm,14.0,11.4,66,SW,11 6,15 8,1024.8,0.0,2025-08-06
3:30 pm,14.8,12.0,66,WSW,13 7,19 10,1024.6,0.0,2025-08-06
3:00 pm,14.6,11.7,66,WSW,13 7,22 12,1024.5,0.0,2025-08-06
2:30 pm,15.5,13.1,64,W,11 6,17 9,1024.2,0.0,2025-08-06
2:00 pm,15.6,13.3,72,WSW,13 7,20 11,1024.3,0.0,2025-08-06
1:30 pm,15.4,13.0,70,WSW,13 7,19 10,1024.4,0.0,2025-08-06
1:00 pm,15.2,13.5,70,WNW,9 5,13 7,1024.6,0.0,2025-08-06
12:30 pm,15.8,14.8,73,NNW,7 4,13 7,1024.8,0.0,2025-08-06
12:00 pm,14.6,13.4,75,N,7 4,11 6,1025.2,0.0,2025-08-06
11:30 am,14.2,13.0,84,NNE,9 5,15 8,1025.4,0.0,2025-08-06
11:00 am,12.6,11.1,88,N,9 5,15 8,1025.5,0.0,2025-08-06
10:37 am,11.7,9.6,89,NNE,11 6,17 9,1025.4,0.0,2025-08-06
10:30 am,11.7,10.1,90,NNE,9 5,15 8,1025.4,0.0,2025-08-06
10:00 am,11.5,10.4,95,N,7 4,11 6,1025.2,0.0,2025-08-06
9:50 am,10.9,9.6,94,N,7 4,11 6,1025.2,0.0,2025-08-06
9:30 am,10.5,8.8,96,NE,9 5,15 8,1024.9,0.0,2025-08-06
9:24 am,10.5,8.4,96,NE,11 6,15 8,1024.9,0.0,2025-08-06
9:15 am,10.3,8.2,96,NE,11 6,15 8,1024.8,0.0,2025-08-06
9:00 am,10.1,8.3,96,ENE,9 5,13 7,1024.7,4.4,2025-08-06
8:48 am,10.1,8.7,97,ENE,7 4,11 6,1024.7,4.2,2025-08-06
8:44 am,10.0,8.6,97,NE,7 4,11 6,1024.7,4.2,2025-08-06
8:30 am,9.9,8.7,97,NE,6 3,9 5,1024.4,4.2,2025-08-06
8:00 am,9.7,8.4,97,ENE,6 3,7 4,1023.9,3.8,2025-08-06
7:30 am,9.5,7.9,96,N,7 4,11 6,1023.5,3.4,2025-08-06
7:00 am,9.5,7.6,96,NNE,9 5,13 7,1022.8,2.0,2025-08-06
6:44 am,9.7,7.8,95,NNE,9 5,15 8,1022.5,0.8,2025-08-06
6:30 am,9.8,7.5,94,N,11 6,19 10,1022.4,0.4,2025-08-06
6:00 am,10.4,8.5,92,NNE,9 5,15 8,1022.0,0.0,2025-08-06
5:30 am,10.3,8.5,94,NNE,9 5,13 7,1021.6,0.0,2025-08-06
5:00 am,10.1,7.9,95,NE,11 6,15 8,1021.4,0.0,2025-08-06
4:55 am,10.0,7.7,94,NE,11 6,15 8,1021.4,0.0,2025-08-06
4:30 am,10.2,8.3,93,NE,9 5,13 7,1021.2,0.0,2025-08-06
4:00 am,10.5,8.0,94,NE,13 7,20 11,1021.1,0.0,2025-08-06
3:30 am,10.1,8.2,94,NE,9 5,15 8,1020.9,0.0,2025-08-06
3:00 am,10.4,8.2,93,NE,11 6,17 9,1020.9,0.0,2025-08-06
2:36 am,10.6,8.8,92,NNE,9 5,11 6,1021.0,0.0,2025-08-06
2:30 am,10.9,9.6,93,NNE,7 4,9 5,1021.0,0.0,2025-08-06
2:00 am,11.2,9.9,91,NNW,7 4,13 7,1021.0,0.0,2025-08-06
1:30 am,11.6,9.6,91,NNW,11 6,20 11,1020.8,0.0,2025-08-06
1:00 am,11.8,9.8,90,NW,11 6,17 9,1020.6,0.0,2025-08-06
12:30 am,11.7,9.6,88,WNW,11 6,20 11,1020.5,0.0,2025-08-06
12:00 am,11.4,9.6,88,NW,9 5,15 8,1020.3,0.0,2025-08-06
