Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,19.1,15.0,67,SSE,26 14,–,1023.9,0.0,2024-11-10
11:00 pm,19.1,15.3,70,SSE,26 14,–,1023.6,0.0,2024-11-10
10:30 pm,19.1,16.0,69,SSE,22 12,–,1023.4,0.0,2024-11-10
10:00 pm,19.3,16.6,69,SSE,20 11,–,1023.8,0.0,2024-11-10
9:30 pm,19.3,16.2,69,SSE,22 12,–,1023.6,0.0,2024-11-10
9:00 pm,19.4,16.6,68,SSE,20 11,–,1023.1,0.0,2024-11-10
8:30 pm,19.6,17.1,70,SSE,20 11,–,1022.9,0.0,2024-11-10
8:00 pm,19.6,15.2,70,SSE,30 16,–,1022.6,0.0,2024-11-10
7:30 pm,19.7,16.4,69,SSE,24 13,–,1022.2,0.0,2024-11-10
