Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,15.6,17.2,96,CALM,0 0,0 0,1018.8,0.0,2023-09-28
11:00 pm,15.8,17.4,94,CALM,0 0,0 0,1018.9,0.0,2023-09-28
10:30 pm,16.3,18.0,93,CALM,0 0,0 0,1018.9,0.0,2023-09-28
10:00 pm,16.9,18.6,90,CALM,0 0,0 0,1019.1,0.0,2023-09-28
9:30 pm,17.6,19.4,87,CALM,0 0,0 0,1019.2,0.0,2023-09-28
9:00 pm,18.5,19.6,84,SW,4 2,9 5,1019.3,0.0,2023-09-28
8:30 pm,18.8,19.4,82,SW,7 4,11 6,1019.1,0.0,2023-09-28
8:00 pm,19.1,19.6,80,SW,7 4,11 6,1018.9,0.0,2023-09-28
7:30 pm,19.5,19.3,78,SW,11 6,17 9,1018.6,0.0,2023-09-28
7:00 pm,20.0,20.1,75,SSW,9 5,15 8,1018.2,0.0,2023-09-28
6:30 pm,20.8,21.1,69,SSW,7 4,11 6,1017.7,0.0,2023-09-28
6:00 pm,22.0,22.1,67,SSW,9 5,13 7,1017.6,0.0,2023-09-28
5:30 pm,23.0,23.0,62,SSW,9 5,15 8,1017.2,0.0,2023-09-28
5:00 pm,24.4,24.5,58,WSW,9 5,15 8,1017.0,0.0,2023-09-28
4:30 pm,24.2,24.6,61,WSW,9 5,15 8,1016.8,0.0,2023-09-28
4:00 pm,24.6,24.4,58,W,11 6,19 10,1016.6,0.0,2023-09-28
3:30 pm,26.1,26.3,53,WSW,9 5,15 8,1016.2,0.0,2023-09-28
3:00 pm,26.2,26.4,56,WSW,11 6,19 10,1016.1,0.0,2023-09-28
2:30 pm,25.8,25.3,54,SW,13 7,19 10,1016.1,0.0,2023-09-28
2:00 pm,27.1,27.2,52,W,11 6,17 9,1016.2,0.0,2023-09-28
1:30 pm,28.4,29.7,52,WNW,7 4,13 7,1016.3,0.0,2023-09-28
1:00 pm,27.1,27.4,51,W,9 5,13 7,1016.5,0.0,2023-09-28
12:30 pm,28.7,29.2,48,W,9 5,13 7,1016.6,0.0,2023-09-28
12:00 pm,29.2,29.6,46,S,9 5,13 7,1016.9,0.0,2023-09-28
11:30 am,29.7,29.8,35,S,4 2,9 5,1017.3,0.0,2023-09-28
11:00 am,28.8,29.0,40,S,6 3,11 6,1017.6,0.0,2023-09-28
10:30 am,27.7,27.5,42,ESE,7 4,11 6,1017.9,0.0,2023-09-28
10:00 am,26.4,26.6,47,SSW,6 3,11 6,1017.9,0.0,2023-09-28
9:30 am,24.6,24.7,53,SSW,7 4,11 6,1018.0,0.0,2023-09-28
9:00 am,23.3,23.6,60,SSW,7 4,11 6,1018.1,0.0,2023-09-28
8:30 am,22.5,23.2,65,SSW,6 3,9 5,1018.1,0.0,2023-09-28
8:00 am,21.1,21.5,74,SSE,9 5,15 8,1018.0,0.0,2023-09-28
7:30 am,20.2,20.5,77,S,9 5,15 8,1017.6,0.0,2023-09-28
7:00 am,19.3,19.8,84,S,9 5,17 9,1017.2,0.0,2023-09-28
6:30 am,16.9,18.3,91,SW,2 1,7 4,1016.9,0.0,2023-09-28
6:00 am,17.0,18.4,90,SW,2 1,7 4,1016.4,0.0,2023-09-28
5:30 am,17.1,18.1,89,SW,4 2,7 4,1016.1,0.0,2023-09-28
5:00 am,17.5,19.2,87,CALM,0 0,0 0,1016.0,0.0,2023-09-28
4:30 am,18.3,20.1,84,CALM,0 0,0 0,1016.0,0.0,2023-09-28
