Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 am,12.4,13.1,98,CALM,0 0,0 0,1010.8,0.0,2024-10-20
3:30 am,12.9,13.7,98,CALM,0 0,0 0,1010.9,0.0,2024-10-20
3:00 am,12.6,13.3,97,CALM,0 0,0 0,1011.4,0.0,2024-10-20
2:30 am,13.2,14.0,97,CALM,0 0,0 0,1011.3,0.0,2024-10-20
2:00 am,13.3,14.1,96,CALM,0 0,0 0,1011.5,0.0,2024-10-20
1:30 am,13.4,14.2,95,CALM,0 0,0 0,1011.9,0.0,2024-10-20
1:00 am,13.9,14.9,95,CALM,0 0,0 0,1011.9,0.0,2024-10-20
12:30 am,14.2,15.2,94,CALM,0 0,0 0,1012.3,0.0,2024-10-20
12:00 am,14.7,15.8,93,CALM,0 0,0 0,1012.4,0.0,2024-10-20
